ID,Description,NES,pvalue,p.adjust,GeneRatio,BgRatio,geneID,geneName,Count,BG,Study,Freq,total_study,celltype,regulators,-log10(Padj),Study_1,Study_2,Cell_line
REACTOME_933542,TRAF6 mediated NF-kB activation,1.341848719,0.008722924,0.069681073,Feb-98,25/17332,7186/4792,TRAF2/NFKBIA,2,25,2022_NatureCommunication_Frey_KPC_OTI,9,18,Tcells,neg,1.15688517,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_937041,"IKK complex recruitment mediated 
by RIP1",1.869643963,0.008722924,0.069681073,Feb-98,25/17332,7334/7316,UBE2N/UBC,2,25,2022_NatureCommunication_Frey_KPC_OTI,7,18,Tcells,neg,1.15688517,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9705462,"Inactivation of CSF3 (G-CSF) 
signaling",1.438574172,0.008722924,0.069681073,Feb-98,25/17332,8651/7316,SOCS1/UBC,2,25,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.15688517,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_HISTONE_H3_ACETYLATION,HISTONE H3 ACETYLATION,1.283143138,0.008820937,0.069857099,Mar-98,75/17332,6885/4297/4089,MAP3K7/KMT2A/SMAD4,3,75,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.155789456,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,"PROTEIN LOCALIZATION TO ENDOPLASMIC 
RETICULUM",1.715621738,0.008820937,0.069857099,Mar-98,75/17332,11345/8733/22930,GABARAPL2/GPAA1/RAB3GAP1,3,75,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.155789456,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_MITOCHONDRION_ORGANIZATION,REGULATION OF MITOCHONDRION ORGANIZATION,1.640266586,0.008821895,0.069857099,Apr-98,143/17332,598/6721/55288/10075,BCL2L1/SREBF2/RHOT1/HUWE1,4,143,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.155789456,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_PROTEIN_TARGETING,PROTEIN TARGETING,2.913610437,0.008948204,0.070447706,Jun-98,315/17332,55072/7332/6721/5191/10075/22871,RNF31/UBE2L3/SREBF2/PEX7/HUWE1/NLGN1,6,315,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.152133143,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS,"REGULATION OF CELLULAR RESPONSE 
TO GROWTH FACTOR STIMULUS",2.090646808,0.008948204,0.070447706,Jun-98,315/17332,6794/8837/3326/1030/967/4089,STK11/CFLAR/HSP90AB1/CDKN2B/CD63/SMAD4,6,315,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.152133143,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_VIRAL_LIFE_CYCLE,VIRAL LIFE CYCLE,3.356650032,0.009349839,0.072449761,Jun-98,318/17332,9525/103/9474/9798/3326/80149,VPS4B/ADAR/ATG5/IST1/HSP90AB1/ZC3H12A,6,318,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_INTERLEUKIN_6_MEDIATED_SIGNALING_PATHWAY,"INTERLEUKIN 6 MEDIATED SIGNALING 
PATHWAY",1.150353088,0.009415277,0.072449761,Feb-98,26/17332,5771/4089,PTPN2/SMAD4,2,26,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MITOTIC_RECOMBINATION,MITOTIC RECOMBINATION,0.958357271,0.009415277,0.072449761,Feb-98,26/17332,5892/7014,RAD51D/TERF2,2,26,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_PEPTIDYL_LYSINE_DIMETHYLATION,PEPTIDYL LYSINE DIMETHYLATION,1.001335414,0.009415277,0.072449761,Feb-98,26/17332,23067/4297,SETD1B/KMT2A,2,26,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_T_CELL_CYTOKINE_PRODUCTION,"POSITIVE REGULATION OF T 
CELL CYTOKINE PRODUCTION",1.478998333,0.009415277,0.072449761,Feb-98,26/17332,7186/6885,TRAF2/MAP3K7,2,26,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_ALK1_PATHWAY,ALK1 PATHWAY,0.586930926,0.009415277,0.072449761,Feb-98,26/17332,3624/4089,INHBA/SMAD4,2,26,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_IL3_PATHWAY,IL3 PATHWAY,1.234816394,0.009415277,0.072449761,Feb-98,26/17332,598/2885,BCL2L1/GRB2,2,26,2022_NatureCommunication_Frey_KPC_OTI,5,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_5654726,"Negative regulation of FGFR1 
signaling",1.186017899,0.009415277,0.072449761,Feb-98,26/17332,2885/7316,GRB2/UBC,2,26,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.139963042,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME,"ALTERNATIVE MRNA SPLICING VIA 
SPLICEOSOME",1.710705011,0.009478689,0.072527947,Mar-98,77/17332,1655/10284/64783,DDX5/SAP18/RBM15,3,77,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.139494617,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05140,Leishmaniasis,1.798136391,0.009478689,0.072527947,Mar-98,77/17332,23118/4792/6885,TAB2/NFKBIA/MAP3K7,3,77,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.139494617,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,"REGULATION OF REACTIVE OXYGEN 
SPECIES METABOLIC PROCESS",1.946130497,0.009696028,0.073983139,Apr-98,147/17332,9474/8837/80149/2885,ATG5/CFLAR/ZC3H12A/GRB2,4,147,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.130867244,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_T_CELL_DIFFERENTIATION_IN_THYMUS,"T CELL DIFFERENTIATION IN 
THYMUS",1.918399646,0.009818027,0.074704762,Mar-98,78/17332,5771/6794/9474,PTPN2/STK11/ATG5,3,78,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.126651713,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS,MEMBRANE LIPID BIOSYNTHETIC PROCESS,2.239140473,0.009923036,0.074790633,Apr-98,148/17332,8733/94005/10026/128869,GPAA1/PIGS/PIGK/PIGU,4,148,2022_NatureCommunication_Frey_KPC_OTI,5,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REACTIVE_OXYGEN_SPECIES_METABOLIC_PROCESS,"REACTIVE OXYGEN SPECIES METABOLIC 
PROCESS",1.771226866,0.010036215,0.074790633,May-98,231/17332,9474/8837/80149/2885/1816,ATG5/CFLAR/ZC3H12A/GRB2/DRD5,5,231,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_GH_PATHWAY,GH PATHWAY,1.543871002,0.01013133,0.074790633,Feb-98,27/17332,8651/2885,SOCS1/GRB2,2,27,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_HISTONE_H4_K16_ACETYLATION,HISTONE H4 K16 ACETYLATION,1.266911692,0.01013133,0.074790633,Feb-98,27/17332,9474/4297,ATG5/KMT2A,2,27,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,"NEGATIVE REGULATION OF DEFENSE 
RESPONSE TO VIRUS",1.255862118,0.01013133,0.074790633,Feb-98,27/17332,9474/9140,ATG5/ATG12,2,27,2022_NatureCommunication_Frey_KPC_OTI,5,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_JAK_STAT,"NEGATIVE REGULATION OF RECEPTOR 
SIGNALING PATHWAY VIA JAK 
STAT",1.74618127,0.01013133,0.074790633,Feb-98,27/17332,5771/8651,PTPN2/SOCS1,2,27,2022_NatureCommunication_Frey_KPC_OTI,8,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K4_METHYLATION,"POSITIVE REGULATION OF HISTONE 
H3 K4 METHYLATION",0.841821402,0.01013133,0.074790633,Feb-98,27/17332,4297/4089,KMT2A/SMAD4,2,27,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_LIPID_STORAGE,"POSITIVE REGULATION OF LIPID 
STORAGE",1.034302249,0.01013133,0.074790633,Feb-98,27/17332,6721/80149,SREBF2/ZC3H12A,2,27,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_5654727,"Negative regulation of FGFR2 
signaling",1.186017899,0.01013133,0.074790633,Feb-98,27/17332,2885/7316,GRB2/UBC,2,27,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_76066,"RNA Polymerase III Transcription 
Initiation From Type 2 
Promoter",1.521536918,0.01013133,0.074790633,Feb-98,27/17332,55814/2972,BDP1/BRF1,2,27,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9648002,RAS processing,1.129519564,0.01013133,0.074790633,Feb-98,27/17332,598/7316,BCL2L1/UBC,2,27,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.126152793,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa05171,Coronavirus disease,2.598508006,0.010212398,0.075185327,May-98,232/17332,103/23118/4792/6885/29110,ADAR/TAB2/NFKBIA/MAP3K7/TBK1,5,232,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.123866908,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MRNA_CATABOLIC_PROCESS,MRNA CATABOLIC PROCESS,1.921609766,0.010753687,0.078600198,May-98,235/17332,7186/1655/28960/80149/91875,TRAF2/DDX5/DCPS/ZC3H12A/TTC5,5,235,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_G1_PATHWAY,G1 PATHWAY,0.512941222,0.010870798,0.078600198,Feb-98,28/17332,1030/4089,CDKN2B/SMAD4,2,28,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,"REGULATION OF ANDROGEN RECEPTOR 
SIGNALING PATHWAY",1.130474465,0.010870798,0.078600198,Feb-98,28/17332,1655/27086,DDX5/FOXP1,2,28,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_VIRAL_RELEASE_FROM_HOST_CELL,"VIRAL RELEASE FROM HOST 
CELL",1.886089488,0.010870798,0.078600198,Feb-98,28/17332,9525/9798,VPS4B/IST1,2,28,2022_NatureCommunication_Frey_KPC_OTI,5,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_TRAIL_PATHWAY,TRAIL PATHWAY,1.542582643,0.010870798,0.078600198,Feb-98,28/17332,7186/8837,TRAF2/CFLAR,2,28,2022_NatureCommunication_Frey_KPC_OTI,11,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_76061,"RNA Polymerase III Transcription 
Initiation From Type 1 
Promoter",1.521536918,0.010870798,0.078600198,Feb-98,28/17332,55814/2972,BDP1/BRF1,2,28,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_9679191,Potential therapeutics for SARS,1.971736139,0.010878221,0.078600198,Mar-98,81/17332,10284/29110/3326,SAP18/TBK1/HSP90AB1,3,81,2022_NatureCommunication_Frey_KPC_OTI,5,18,Tcells,neg,1.104576363,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MAINTENANCE_OF_LOCATION,MAINTENANCE OF LOCATION,2.637804615,0.011086113,0.079890403,Jun-98,330/17332,8733/5771/4792/9474/6721/80149,GPAA1/PTPN2/NFKBIA/ATG5/SREBF2/ZC3H12A,6,330,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.097505389,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY,"NEGATIVE REGULATION OF KINASE 
ACTIVITY",2.513613374,0.011125283,0.079961134,May-98,237/17332,7128/103/5771/1030/4298,TNFAIP3/ADAR/PTPN2/CDKN2B/MLLT1,5,237,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.097121055,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,"CD4 POSITIVE ALPHA BETA 
T CELL DIFFERENTIATION",1.512070556,0.011245766,0.080402801,Mar-98,82/17332,8651/80149/27086,SOCS1/ZC3H12A/FOXP1,3,82,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.09472882,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_SMAD2_3NUCLEAR_PATHWAY,SMAD2 3NUCLEAR PATHWAY,1.150584846,0.011245766,0.080402801,Mar-98,82/17332,10284/1030/4089,SAP18/CDKN2B/SMAD4,3,82,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.09472882,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_TNFR1_PATHWAY,TNFR1 PATHWAY,1.478998333,0.0116334,0.082524431,Feb-98,29/17332,7186/6885,TRAF2/MAP3K7,2,29,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.08341746,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC,"POSITIVE REGULATION OF SYNAPTIC 
TRANSMISSION GLUTAMATERGIC",0.540693992,0.0116334,0.082524431,Feb-98,29/17332,22930/22871,RAB3GAP1/NLGN1,2,29,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.08341746,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_EXECUTION_PHASE_OF_APOPTOSIS,"REGULATION OF EXECUTION PHASE 
OF APOPTOSIS",1.05311987,0.0116334,0.082524431,Feb-98,29/17332,598/80149,BCL2L1/ZC3H12A,2,29,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.08341746,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REPRODUCTIVE_SYSTEM_DEVELOPMENT,REPRODUCTIVE SYSTEM DEVELOPMENT,2.391856666,0.011965485,0.084659694,Jul-98,437/17332,6794/598/3326/3624/4089/2885/64783,STK11/BCL2L1/HSP90AB1/INHBA/SMAD4/GRB2/RBM15,7,437,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.072323307,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,"POSITIVE REGULATION OF PROTEIN 
LOCALIZATION TO NUCLEUS",1.813421417,0.012002221,0.084699608,Mar-98,84/17332,6794/3326/80149,STK11/HSP90AB1/ZC3H12A,3,84,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.072118597,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_CELLULAR_RESPONSE_TO_VIRUS,CELLULAR RESPONSE TO VIRUS,1.945850831,0.012391174,0.085642941,Mar-98,85/17332,103/345611/80149,ADAR/IRGM/ZC3H12A,3,85,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_CHROMOSOME_LOCALIZATION,CHROMOSOME LOCALIZATION,1.992762716,0.012391174,0.085642941,Mar-98,85/17332,9525/8452/91272,VPS4B/CUL3/BOD1,3,85,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_ENDOCRINE_PROCESS,ENDOCRINE PROCESS,0.488355937,0.012391174,0.085642941,Mar-98,85/17332,3624/4089/1816,INHBA/SMAD4/DRD5,3,85,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_VIA_DEATH_DOMAIN_RECEPTORS,"EXTRINSIC APOPTOTIC SIGNALING PATHWAY 
VIA DEATH DOMAIN RECEPTORS",2.017178805,0.012391174,0.085642941,Mar-98,85/17332,7128/598/8837,TNFAIP3/BCL2L1/CFLAR,3,85,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_FAS_PATHWAY,FAS PATHWAY,1.398096961,0.012418855,0.085642941,Feb-98,30/17332,8837/6885,CFLAR/MAP3K7,2,30,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_INTERLEUKIN_1_MEDIATED_SIGNALING_PATHWAY,"INTERLEUKIN 1 MEDIATED SIGNALING 
PATHWAY",1.040941088,0.012418855,0.085642941,Feb-98,30/17332,6885/8986,MAP3K7/RPS6KA4,2,30,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEURON_PROJECTION_ARBORIZATION,NEURON PROJECTION ARBORIZATION,0.729984256,0.012418855,0.085642941,Feb-98,30/17332,221692/22871,PHACTR1/NLGN1,2,30,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
PID_IL2_STAT5_PATHWAY,IL2 STAT5 PATHWAY,1.234816394,0.012418855,0.085642941,Feb-98,30/17332,598/2885,BCL2L1/GRB2,2,30,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_933541,TRAF6 mediated IRF7 activation,1.302402196,0.012418855,0.085642941,Feb-98,30/17332,7186/29110,TRAF2/TBK1,2,30,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.06730843,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_HISTONE_METHYLATION,HISTONE METHYLATION,1.585473674,0.012650574,0.087020617,Apr-98,159/17332,23067/80335/4297/4089,SETD1B/WDR82/KMT2A/SMAD4,4,159,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.06037784,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION,"POSITIVE REGULATION OF PROTEIN 
LOCALIZATION",3.60758383,0.013114047,0.089404564,Jul-98,445/17332,55072/7332/6794/3326/6721/80149/10075,RNF31/UBE2L3/STK11/HSP90AB1/SREBF2/ZC3H12A/HUWE1,7,445,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MUSCLE_CELL_APOPTOTIC_PROCESS,MUSCLE CELL APOPTOTIC PROCESS,1.273032596,0.013190635,0.089404564,Mar-98,87/17332,8837/80149/4089,CFLAR/ZC3H12A/SMAD4,3,87,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
BIOCARTA_IL1R_PATHWAY,IL1R PATHWAY,1.197363037,0.013226887,0.089404564,Feb-98,31/17332,4792/6885,NFKBIA/MAP3K7,2,31,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_MULTIVESICULAR_BODY_ORGANIZATION,MULTIVESICULAR BODY ORGANIZATION,1.886089488,0.013226887,0.089404564,Feb-98,31/17332,9525/9798,VPS4B/IST1,2,31,2022_NatureCommunication_Frey_KPC_OTI,6,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_HISTONE_ACETYLATION,"POSITIVE REGULATION OF HISTONE 
ACETYLATION",0.676070217,0.013226887,0.089404564,Feb-98,31/17332,8986/4089,RPS6KA4/SMAD4,2,31,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_PROGRAMMED_NECROTIC_CELL_DEATH,"REGULATION OF PROGRAMMED NECROTIC 
CELL DEATH",1.182236186,0.013226887,0.089404564,Feb-98,31/17332,8837/10616,CFLAR/RBCK1,2,31,2022_NatureCommunication_Frey_KPC_OTI,10,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
REACTOME_182971,EGFR downregulation,1.186017899,0.013226887,0.089404564,Feb-98,31/17332,2885/7316,GRB2/UBC,2,31,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.048640311,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
KEGG_hsa04630,JAK-STAT signaling pathway,2.259173772,0.013469657,0.090820164,Apr-98,162/17332,5771/8651/598/2885,PTPN2/SOCS1/BCL2L1/GRB2,4,162,2022_NatureCommunication_Frey_KPC_OTI,2,18,Tcells,neg,1.041817718,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_NEURON_MIGRATION,NEURON MIGRATION,1.289683848,0.014034071,0.093623144,Apr-98,164/17332,8239/5191/221692/116983,USP9X/PEX7/PHACTR1/ACAP3,4,164,2022_NatureCommunication_Frey_KPC_OTI,1,18,Tcells,neg,1.02861678,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_POSITIVE_REGULATION_OF_UBIQUITIN_PROTEIN_TRANSFERASE_ACTIVITY,"POSITIVE REGULATION OF UBIQUITIN 
PROTEIN TRANSFERASE ACTIVITY",2.537082175,0.014057219,0.093623144,Feb-98,32/17332,7332/7334,UBE2L3/UBE2N,2,32,2022_NatureCommunication_Frey_KPC_OTI,3,18,Tcells,neg,1.02861678,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY,"REGULATION OF ENDOPLASMIC RETICULUM 
STRESS INDUCED INTRINSIC APOPTOTIC 
SIGNALING PATHWAY",1.437126663,0.014057219,0.093623144,Feb-98,32/17332,5771/598,PTPN2/BCL2L1,2,32,2022_NatureCommunication_Frey_KPC_OTI,4,18,Tcells,neg,1.02861678,2022_NatCommun_Frey_KPC_OTI,2022_NatCommun_Frey_KPC_OTI,PDAC
