"ID","Description","NES","pvalue","p.adjust","GeneRatio","BgRatio","geneID","geneName","Count","BG","Study","Freq","total_study","celltype","regulators","-log10(Padj)"
"GOBP_NEGATIVE_REGULATION_OF_OSTEOBLAST_DIFFERENTIATION","NEGATIVE REGULATION OF OSTEOBLAST DIFFERENTIATION
",0.620061696971713,0.00250692950343592,0.0605266971552257,"3/92","51/17332","100033819/5727/79697","MIR675/PTCH1/RIOX1",3,51,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.21805302419411
"PID_CASPASE_PATHWAY","CASPASE PATHWAY",1.53037779010963,0.00250692950343592,0.0605266971552257,"3/92","51/17332","329/8717/7186","BIRC2/TRADD/TRAF2",3,51,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.21805302419411
"GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY","TUMOR NECROSIS FACTOR MEDIATED SIGNALING
 PATHWAY",1.63837697674872,0.00252932290661202,0.0605266971552257,"4/92","107/17332","329/8717/7186/5970","BIRC2/TRADD/TRAF2/RELA",4,107,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",8,18,"Tcells","neg",1.21805302419411
"BIOCARTA_CD40_PATHWAY","CD40 PATHWAY",0.534381032688906,0.00279776659776056,0.0619223521708803,"2/92","15/17332","8517/5970","IKBKG/RELA",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",10,18,"Tcells","neg",1.20815255498292
"BIOCARTA_TALL1_PATHWAY","TALL1 PATHWAY",1.02191884488981,0.00279776659776056,0.0619223521708803,"2/92","15/17332","7186/5970","TRAF2/RELA",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",6,18,"Tcells","neg",1.20815255498292
"REACTOME_5339716","Signaling by GSK3beta mutants",1.02325267546834,0.00279776659776056,0.0619223521708803,"2/92","15/17332","5527/8312","PPP2R5C/AXIN1",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"REACTOME_5358747","S33 mutants of beta-catenin aren't
 phosphorylated",1.02325267546834,0.00279776659776056,0.0619223521708803,"2/92","15/17332","5527/8312","PPP2R5C/AXIN1",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"REACTOME_5358749","S37 mutants of beta-catenin aren't
 phosphorylated",1.02325267546834,0.00279776659776056,0.0619223521708803,"2/92","15/17332","5527/8312","PPP2R5C/AXIN1",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"REACTOME_5358751","S45 mutants of beta-catenin aren't
 phosphorylated",1.02325267546834,0.00279776659776056,0.0619223521708803,"2/92","15/17332","5527/8312","PPP2R5C/AXIN1",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"REACTOME_5358752","T41 mutants of beta-catenin aren't
 phosphorylated",1.02325267546834,0.00279776659776056,0.0619223521708803,"2/92","15/17332","5527/8312","PPP2R5C/AXIN1",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"REACTOME_975577","N-Glycan antennae elongation",1.0439422066012,0.00279776659776056,0.0619223521708803,"2/92","15/17332","9334/11320","B4GALT5/MGAT4A",2,15,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.20815255498292
"GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY","POSITIVE REGULATION OF DNA BINDING
 TRANSCRIPTION FACTOR ACTIVITY",1.85049121844338,0.00282053338346258,0.0619223521708803,"6/92","264/17332","6885/8717/55072/8517/7186/5970","MAP3K7/TRADD/RNF31/IKBKG/TRAF2/RELA",6,264,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",12,18,"Tcells","neg",1.20815255498292
"KEGG_hsa05145","Toxoplasmosis",1.32624691623715,0.00298355887275651,0.064905967113694,"4/92","112/17332","329/6885/8517/5970","BIRC2/MAP3K7/IKBKG/RELA",4,112,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.18771537461068
"GOBP_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING","REGULATION OF NIK NF KAPPAB
 SIGNALING",1.40494998402977,0.00308066021826988,0.0657339345875797,"4/92","113/17332","329/8717/54209/5970","BIRC2/TRADD/TREM2/RELA",4,113,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.18221037169752
"REACTOME_68877","Mitotic Prometaphase",2.7029848686682,0.00308066021826988,0.0657339345875797,"4/92","113/17332","7278/5527/10726/147841","TUBA3C/PPP2R5C/NUDC/SPC24",4,113,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.18221037169752
"BIOCARTA_SHH_PATHWAY","SHH PATHWAY",1.10500284848308,0.00318643393738372,0.0657339345875797,"2/92","16/17332","5575/5727","PRKAR1B/PTCH1",2,16,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.18221037169752
"GOBP_CD40_SIGNALING_PATHWAY","CD40 SIGNALING PATHWAY",0.93004368521078,0.00318643393738372,0.0657339345875797,"2/92","16/17332","55072/54209","RNF31/TREM2",2,16,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.18221037169752
"GOBP_GLIAL_CELL_APOPTOTIC_PROCESS","GLIAL CELL APOPTOTIC PROCESS",1.01181659397402,0.00318643393738372,0.0657339345875797,"2/92","16/17332","54209/7186","TREM2/TRAF2",2,16,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.18221037169752
"GOBP_POSITIVE_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY","POSITIVE REGULATION OF T CELL
 RECEPTOR SIGNALING PATHWAY",0.534381032688906,0.00318643393738372,0.0657339345875797,"2/92","16/17332","8517/5970","IKBKG/RELA",2,16,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.18221037169752
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","REGULATION OF ADAPTIVE IMMUNE RESPONSE
",1.75709457059003,0.00326903261522345,0.065835070518444,"5/92","188/17332","6885/7468/54209/4436/7186","MAP3K7/NSD2/TREM2/MSH2/TRAF2",5,188,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.18154269490979
"GOBP_DSRNA_PROCESSING","DSRNA PROCESSING",1.05421572062249,0.00327387103706429,0.065835070518444,"3/92","56/17332","27161/7247/7257","AGO2/TSN/TSNAX",3,56,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.18154269490979
"REACTOME_5610787","Hedgehog 'off' state",1.34214385439463,0.00327387103706429,0.065835070518444,"3/92","56/17332","7278/5575/5727","TUBA3C/PRKAR1B/PTCH1",3,56,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.18154269490979
"REACTOME_9648025","EML4 and NUDC in mitotic
 spindle formation",2.7029848686682,0.00349067743552481,0.0696099258600905,"4/92","117/17332","7278/5527/10726/147841","TUBA3C/PPP2R5C/NUDC/SPC24",4,117,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1573288287959
"KEGG_hsa05202","Transcriptional misregulation in cancer",1.54839592430772,0.00357645620113294,0.0700167998229027,"5/92","192/17332","329/7468/904/8352/5970","BIRC2/NSD2/CCNT1/H3C3/RELA",5,192,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.15479774291425
"REACTOME_1810476","RIP-mediated NFkB activation via ZBP1
",0.534381032688906,0.00359885765909612,0.0700167998229027,"2/92","17/17332","8517/5970","IKBKG/RELA",2,17,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",5,18,"Tcells","neg",1.15479774291425
"REACTOME_196299","Beta-catenin phosphorylation cascade",1.02325267546834,0.00359885765909612,0.0700167998229027,"2/92","17/17332","5527/8312","PPP2R5C/AXIN1",2,17,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.15479774291425
"KEGG_hsa04071","Sphingolipid signaling pathway",1.50454213140802,0.00370896960116326,0.0702902854315312,"4/92","119/17332","8717/5527/7186/5970","TRADD/PPP2R5C/TRAF2/RELA",4,119,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.1531046931169
"KEGG_hsa05167","Kaposi sarcoma-associated herpesvirus infection",1.49465191237401,0.00373772400677277,0.0702902854315312,"5/92","194/17332","8717/8517/7186/29110/5970","TRADD/IKBKG/TRAF2/TBK1/RELA",5,194,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",6,18,"Tcells","neg",1.1531046931169
"KEGG_hsa05022","Pathways of neurodegeneration",2.64394911578666,0.00378621653125503,0.0702902854315312,"8/92","476/17332","7278/1128/6390/118424/7186/8312/29110/5970","TUBA3C/CHRM1/SDHB/UBE2J2/TRAF2/AXIN1/TBK1/RELA",8,476,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.1531046931169
"GOBP_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY","REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY
",0.859312306852468,0.00379579932938373,0.0702902854315312,"3/92","59/17332","7248/186/6992","TSC1/AGTR2/PPP1R11",3,59,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1531046931169
"KEGG_hsa04152","AMPK signaling pathway",1.8972591250144,0.00382151485722214,0.0702902854315312,"4/92","120/17332","6885/6794/7248/5527","MAP3K7/STK11/TSC1/PPP2R5C",4,120,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.1531046931169
"GOBP_PROTEIN_INSERTION_INTO_MEMBRANE","PROTEIN INSERTION INTO MEMBRANE",1.27788488322109,0.00398037660872456,0.0702902854315312,"3/92","60/17332","83460/3308/57003","EMC6/HSPA4/CCDC47",3,60,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.1531046931169
"GOBP_REGULATION_OF_JUN_KINASE_ACTIVITY","REGULATION OF JUN KINASE ACTIVITY
",1.5467260662696,0.00398037660872456,0.0702902854315312,"3/92","60/17332","6885/7186/8312","MAP3K7/TRAF2/AXIN1",3,60,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.1531046931169
"GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT","POSITIVE REGULATION OF INTRACELLULAR TRANSPORT
",1.97569522669495,0.00398932727755868,0.0702902854315312,"5/92","197/17332","55072/6794/1128/118424/10155","RNF31/STK11/CHRM1/UBE2J2/TRIM28",5,197,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.1531046931169
"BIOCARTA_41BB_PATHWAY","41BB PATHWAY",1.02191884488981,0.00403478018403994,0.0702902854315312,"2/92","18/17332","7186/5970","TRAF2/RELA",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",8,18,"Tcells","neg",1.1531046931169
"BIOCARTA_CARDIACEGF_PATHWAY","CARDIACEGF PATHWAY",0.477033896394985,0.00403478018403994,0.0702902854315312,"2/92","18/17332","186/5970","AGTR2/RELA",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1531046931169
"GOBP_ACTIVATION_OF_NF_KAPPAB_INDUCING_KINASE_ACTIVITY","ACTIVATION OF NF KAPPAB INDUCING
 KINASE ACTIVITY",1.2473741055754,0.00403478018403994,0.0702902854315312,"2/92","18/17332","6885/7186","MAP3K7/TRAF2",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",6,18,"Tcells","neg",1.1531046931169
"GOBP_CELLULAR_RESPONSE_TO_CHOLESTEROL","CELLULAR RESPONSE TO CHOLESTEROL",0.642580459789251,0.00403478018403994,0.0702902854315312,"2/92","18/17332","3624/5727","INHBA/PTCH1",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1531046931169
"REACTOME_140534","Caspase activation via Death Receptors
 in the presence of ligand
",1.17169437740953,0.00403478018403994,0.0702902854315312,"2/92","18/17332","8717/7186","TRADD/TRAF2",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.1531046931169
"REACTOME_5676594","TNF receptor superfamily (TNFSF) members
 mediating non-canonical NF-kB pathway",1.28806351680337,0.00403478018403994,0.0702902854315312,"2/92","18/17332","329/7186","BIRC2/TRAF2",2,18,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.1531046931169
"GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE","POSITIVE REGULATION OF PRODUCTION OF
 MOLECULAR MEDIATOR OF IMMUNE RESPONSE
",1.65444726673513,0.00405351416195207,0.0702902854315312,"4/92","122/17332","6885/7468/4436/7186","MAP3K7/NSD2/MSH2/TRAF2",4,122,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1531046931169
"GOBP_CYTOPLASMIC_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY","CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING
 PATHWAY",1.34142213309785,0.00417033472656209,0.0717957625946984,"3/92","61/17332","329/6885/5970","BIRC2/MAP3K7/RELA",3,61,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.14390118717895
"GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE","POSITIVE REGULATION OF DEFENSE RESPONSE
",1.88461776925749,0.00431844306594895,0.0735089419413239,"6/92","288/17332","6885/8717/55072/5733/54209/29110","MAP3K7/TRADD/RNF31/PTGER3/TREM2/TBK1",6,288,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.13365982826865
"KEGG_hsa05010","Alzheimer disease",2.22951268494153,0.00433128324852765,0.0735089419413239,"7/92","384/17332","7278/1128/8517/6390/7186/8312/5970","TUBA3C/CHRM1/IKBKG/SDHB/TRAF2/AXIN1/RELA",7,384,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",6,18,"Tcells","neg",1.13365982826865
"GOBP_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY","REGULATION OF B CELL MEDIATED
 IMMUNITY",1.09481254356606,0.004365720038103,0.0735716059942288,"3/92","62/17332","7468/54209/4436","NSD2/TREM2/MSH2",3,62,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.1332897636419
"REACTOME_2500257","Resolution of Sister Chromatid Cohesion
",2.7029848686682,0.00454575829221198,0.0753642792371295,"4/92","126/17332","7278/5527/10726/147841","TUBA3C/PPP2R5C/NUDC/SPC24",4,126,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.12283444996692
"KEGG_hsa04623","Cytosolic DNA-sensing pathway",0.837222480019048,0.00456657772226652,0.0753642792371295,"3/92","63/17332","8517/29110/5970","IKBKG/TBK1/RELA",3,63,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",6,18,"Tcells","neg",1.12283444996692
"PID_BCR_5PATHWAY","BCR 5PATHWAY",0.95388357249053,0.00456657772226652,0.0753642792371295,"3/92","63/17332","6885/8517/5970","MAP3K7/IKBKG/RELA",3,63,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.12283444996692
"GOBP_PROTEIN_DEPHOSPHORYLATION","PROTEIN DEPHOSPHORYLATION",1.69752242177046,0.00461622418042945,0.0756618113956691,"6/92","292/17332","6794/7248/186/6992/84792/5527","STK11/TSC1/AGTR2/PPP1R11/FAM220A/PPP2R5C",6,292,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.12112326561099
"GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS","POSITIVE REGULATION OF RESPONSE TO
 CYTOKINE STIMULUS",1.24317782157442,0.00477295179527854,0.0776984601775616,"3/92","64/17332","54209/7186/29110","TREM2/TRAF2/TBK1",3,64,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",5,18,"Tcells","neg",1.10958758793029
"KEGG_hsa05168","Herpes simplex virus 1 infection
",2.22936682102815,0.00489996575281369,0.0792271489627241,"8/92","497/17332","329/6885/8717/7248/8517/7186/29110/5970","BIRC2/MAP3K7/TRADD/TSC1/IKBKG/TRAF2/TBK1/RELA",8,497,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.10112597214403
"BIOCARTA_GSK3_PATHWAY","GSK3 PATHWAY",0.933704140718903,0.00497610138122666,0.0793854040351693,"2/92","20/17332","8312/5970","AXIN1/RELA",2,20,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.10025934051616
"REACTOME_168927","TICAM1, RIP1-mediated IKK complex recruitment
",0.800525704602467,0.00497610138122666,0.0793854040351693,"2/92","20/17332","329/8517","BIRC2/IKBKG",2,20,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",9,18,"Tcells","neg",1.10025934051616
"GOBP_POSITIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING","POSITIVE REGULATION OF NIK NF
 KAPPAB SIGNALING",1.04218488436286,0.00542559535136146,0.085417432077684,"3/92","67/17332","8717/54209/5970","TRADD/TREM2/RELA",3,67,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.06845348899975
"REACTOME_1169091","Activation of NF-kappaB in B
 cells",0.95388357249053,0.00542559535136146,0.085417432077684,"3/92","67/17332","6885/8517/5970","MAP3K7/IKBKG/RELA",3,67,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.06845348899975
"GOBP_I_KAPPAB_PHOSPHORYLATION","I KAPPAB PHOSPHORYLATION",1.2473741055754,0.0054809949076647,0.0857256262355662,"2/92","21/17332","6885/7186","MAP3K7/TRAF2",2,21,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.06688933363025
"BIOCARTA_AKT_PATHWAY","AKT PATHWAY",0.534381032688906,0.00600837691850921,0.092166961320465,"2/92","22/17332","8517/5970","IKBKG/RELA",2,22,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",5,18,"Tcells","neg",1.03542473065601
"GOBP_MICROVILLUS_ASSEMBLY","MICROVILLUS ASSEMBLY",0.883837065680711,0.00600837691850921,0.092166961320465,"2/92","22/17332","53827/688","FXYD5/KLF5",2,22,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.03542473065601
"GOBP_REGULATION_OF_BROWN_FAT_CELL_DIFFERENTIATION","REGULATION OF BROWN FAT CELL
 DIFFERENTIATION",0.825542606532721,0.00600837691850921,0.092166961320465,"2/92","22/17332","6239/79068","RREB1/FTO",2,22,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.03542473065601
"REACTOME_5689880","Ub-specific processing proteases",1.81576069562919,0.00633659490130087,0.0937669860774381,"5/92","220/17332","329/6885/8517/7186/8312","BIRC2/MAP3K7/IKBKG/TRAF2/AXIN1",5,220,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.02795004315774
"REACTOME_3214841","PKMTs methylate histone lysines",1.10932429678334,0.00637548856092175,0.0937669860774381,"3/92","71/17332","7468/8352/5970","NSD2/H3C3/RELA",3,71,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.02795004315774
"GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","PROTEASOME MEDIATED UBIQUITIN DEPENDENT PROTEIN
 CATABOLIC PROCESS",2.19634780733796,0.00639913364508003,0.0937669860774381,"7/92","413/17332","329/54994/10296/57003/118424/5527/8312","BIRC2/GID8/MAEA/CCDC47/UBE2J2/PPP2R5C/AXIN1",7,413,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.02795004315774
"GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","EXTRINSIC APOPTOTIC SIGNALING PATHWAY",1.30858868271005,0.00645664461448546,0.0937669860774381,"5/92","221/17332","8717/3624/186/7186/5970","TRADD/INHBA/AGTR2/TRAF2/RELA",5,221,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",9,18,"Tcells","neg",1.02795004315774
"BIOCARTA_NTHI_PATHWAY","NTHI PATHWAY",0.949467593010611,0.00655799976516634,0.0937669860774381,"2/92","23/17332","6885/5970","MAP3K7/RELA",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",8,18,"Tcells","neg",1.02795004315774
"GOBP_CELLULAR_RESPONSE_TO_STEROL","CELLULAR RESPONSE TO STEROL",0.642580459789251,0.00655799976516634,0.0937669860774381,"2/92","23/17332","3624/5727","INHBA/PTCH1",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.02795004315774
"GOBP_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION","INTESTINAL EPITHELIAL CELL DIFFERENTIATION",2.27403714331838,0.00655799976516634,0.0937669860774381,"2/92","23/17332","7298/688","TYMS/KLF5",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",2,18,"Tcells","neg",1.02795004315774
"GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE","PROTEIN INSERTION INTO ER MEMBRANE
",1.18066741948327,0.00655799976516634,0.0937669860774381,"2/92","23/17332","83460/57003","EMC6/CCDC47",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",4,18,"Tcells","neg",1.02795004315774
"GOBP_REGULATION_OF_ATP_BIOSYNTHETIC_PROCESS","REGULATION OF ATP BIOSYNTHETIC PROCESS
",0.64020078477983,0.00655799976516634,0.0937669860774381,"2/92","23/17332","100033819/54209","MIR675/TREM2",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.02795004315774
"KEGG_hsa04614","Renin-angiotensin system",0.49382803595192,0.00655799976516634,0.0937669860774381,"2/92","23/17332","186/3817","AGTR2/KLK2",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.02795004315774
"REACTOME_450321","JNK (c-Jun kinases) phosphorylation and
  activation mediated by activated
 human TAK1",0.759836293374495,0.00655799976516634,0.0937669860774381,"2/92","23/17332","6885/8517","MAP3K7/IKBKG",2,23,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",7,18,"Tcells","neg",1.02795004315774
"REACTOME_5663220","RHO GTPases Activate Formins",2.7029848686682,0.00658288911868349,0.0937669860774381,"4/92","140/17332","7278/5527/10726/147841","TUBA3C/PPP2R5C/NUDC/SPC24",4,140,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.02795004315774
"KEGG_hsa04140","Autophagy",1.89627698792088,0.00674806953274985,0.0955510674075171,"4/92","141/17332","6885/6794/7248/29110","MAP3K7/STK11/TSC1/TBK1",4,141,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",13,18,"Tcells","neg",1.01976445704847
"GOBP_REGULATION_OF_FAT_CELL_DIFFERENTIATION","REGULATION OF FAT CELL DIFFERENTIATION
",1.4512540147197,0.00691597689229277,0.0973525453132741,"4/92","142/17332","6239/8312/79068/688","RREB1/AXIN1/FTO/KLF5",4,142,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.01165268922809
"BIOCARTA_WNT_PATHWAY","WNT PATHWAY",1.15915940140449,0.00712961774457156,0.0988872360869634,"2/92","24/17332","6885/8312","MAP3K7/AXIN1",2,24,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",5,18,"Tcells","neg",1.00485976153463
"REACTOME_450302","activated TAK1 mediates p38 MAPK
 activation",0.759836293374495,0.00712961774457156,0.0988872360869634,"2/92","24/17332","6885/8517","MAP3K7/IKBKG",2,24,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",9,18,"Tcells","neg",1.00485976153463
"GOBP_DEMETHYLATION","DEMETHYLATION",0.43204041128165,0.00714897277185319,0.0988872360869634,"3/92","74/17332","10155/79697/79068","TRIM28/RIOX1/FTO",3,74,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_A",1,18,"Tcells","neg",1.00485976153463
"REACTOME_5357956","TNFR1-induced NFkappaB signaling pathway",2.6983390718431,9.85577117283979e-11,2.17911100631488e-07,"7/85","30/17332","7186/6885/329/8517/10616/8717/55072","TRAF2/MAP3K7/BIRC2/IKBKG/RBCK1/TRADD/RNF31",7,30,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",11,18,"Tcells","neg",6.66172064575096
"REACTOME_5357905","Regulation of TNFR1 signaling",2.57204806277676,4.84848351639185e-10,5.35999852737119e-07,"7/85","37/17332","7186/329/8517/10616/8837/8717/55072","TRAF2/BIRC2/IKBKG/RBCK1/CFLAR/TRADD/RNF31",7,37,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",12,18,"Tcells","neg",6.27083532962713
"GOBP_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","I KAPPAB KINASE NF KAPPAB
 SIGNALING",3.17087839599679,1.575145684956e-08,1.16088236981258e-05,"12/85","288/17332","7186/6885/329/8517/124583/29110/1906/10616/8837/8717/55072/10318","TRAF2/MAP3K7/BIRC2/IKBKG/CANT1/TBK1/EDN1/RBCK1/CFLAR/TRADD/RNF31/TNIP1",12,288,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",10,18,"Tcells","neg",4.93521178433503
"GOBP_POSITIVE_REGULATION_OF_I_KAPPAB_KINASE_NF_KAPPAB_SIGNALING","POSITIVE REGULATION OF I KAPPAB
 KINASE NF KAPPAB SIGNALING",2.90937118347666,2.74481438795599e-08,1.51719615294267e-05,"10/85","188/17332","7186/6885/329/8517/124583/29110/10616/8837/8717/55072","TRAF2/MAP3K7/BIRC2/IKBKG/CANT1/TBK1/RBCK1/CFLAR/TRADD/RNF31",10,188,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",11,18,"Tcells","neg",4.81895826718062
"KEGG_hsa04064","NF-kappa B signaling pathway",2.78563850668689,7.68114300963932e-07,0.000339660143886251,"7/85","104/17332","7186/6885/329/8517/8837/4050/8717","TRAF2/MAP3K7/BIRC2/IKBKG/CFLAR/LTB/TRADD",7,104,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",10,18,"Tcells","neg",3.46895541075664
"KEGG_hsa04668","TNF signaling pathway",2.9531296329811,1.2692639034033e-06,0.000467723748404116,"7/85","112/17332","7186/6885/329/8517/1906/8837/8717","TRAF2/MAP3K7/BIRC2/IKBKG/EDN1/CFLAR/TRADD",7,112,"2019_Cell_Vredevoogd_IFNGR1deficient_D10_B",12,18,"Tcells","neg",3.33001057847931
