id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Rabep1	4	0.045377	0.099367	0.71345	2691	4	-2.6991	0.95462	0.97231	1.0	18504	0	0
A930018P22Rik	4	0.045377	0.099367	0.71345	2692	4	-3.0618	0.95462	0.97231	1.0	18505	0	0
Iffo2	4	0.045377	0.099367	0.71345	2693	4	-2.1418	0.95462	0.97231	1.0	18503	0	0
Gm12429	4	0.045377	0.099367	0.71345	2694	4	-3.24	0.95462	0.97231	1.0	18498	0	0
Rictor	4	0.045377	0.099367	0.71345	2695	4	-3.5753	0.95462	0.97231	1.0	18501	0	0
Mrgprb4	4	0.045379	0.099484	0.71345	2696	1	-3.5662	0.24898	0.37465	1.0	6953	1	4.7173
Sgk3	4	0.045379	0.099484	0.71345	2697	3	-3.3671	0.37379	0.4813	1.0	8662	1	3.6421
Kcnd2	4	0.045379	0.099484	0.71345	2698	2	-5.0326	0.27538	0.42444	1.0	7587	2	2.0663
Mcur1	4	0.045379	0.099484	0.71345	2699	3	-4.4365	0.56099	0.60003	1.0	11095	1	2.4144
Cel	4	0.045379	0.099484	0.71345	2700	3	-4.5006	0.84959	0.88765	1.0	16338	0	0
Spg11	4	0.045379	0.099484	0.71345	2701	1	-7.2275	0.032363	0.071789	0.904148	1549	3	3.9218
Doxl2	3	0.045568	0.091514	0.703545	2702	2	-6.2931	0.75484	0.803	1.0	14490	0	0
Olfr137	3	0.045568	0.091514	0.703545	2703	2	-6.0319	0.78865	0.8308	1.0	15170	0	0
Rab7	3	0.045568	0.091514	0.703545	2704	2	-6.2414	0.85225	0.89684	1.0	16400	0	0
Taf7	3	0.045568	0.091514	0.703545	2705	2	-5.784	0.009543	0.027907	0.88656	590	1	7.9656
Ric8	4	0.045602	0.10018	0.71345	2706	3	-5.3944	0.29805	0.43769	1.0	7859	1	2.9167
Tvp23b	4	0.045602	0.10018	0.71345	2707	3	-4.8145	0.84937	0.88765	1.0	16335	0	0
Calm5	4	0.045602	0.10018	0.71345	2708	3	-4.7933	0.080425	0.1489	0.920867	3083	1	5.0262
Rogdi	4	0.045602	0.10018	0.71345	2709	2	-6.2157	0.48946	0.5443	1.0	10063	1	2.9704
Trdmt1	4	0.045602	0.10018	0.71345	2710	3	-4.0891	0.26534	0.40604	1.0	7353	1	3.7701
Med31	4	0.045602	0.10018	0.71345	2711	3	-5.536	0.84512	0.88359	1.0	16257	0	0
Zkscan4	4	0.045602	0.10018	0.71345	2712	2	-6.2642	0.10729	0.17781	0.960593	3758	2	3.8106
N4bp2l2	4	0.045602	0.10018	0.71345	2713	3	-5.3499	0.91142	0.94112	1.0	17581	0	0
Usp34	4	0.045602	0.10018	0.71345	2714	3	-5.3304	0.049421	0.11332	0.920867	2224	1	6.0124
Lrrc51	4	0.045602	0.10018	0.71345	2715	3	-4.5068	0.8954	0.92443	1.0	17228	0	0
Mdh1b	4	0.045745	0.10071	0.71345	2716	4	-3.9907	0.95425	0.97217	1.0	18496	0	0
Mrpl16	4	0.045812	0.10071	0.71345	2717	4	-3.1867	0.95419	0.97217	1.0	18495	0	0
Map3k1	4	0.045833	0.10071	0.71345	2718	4	-0.86511	0.95417	0.97217	1.0	18493	0	0
Ms4a8a	3	0.045886	0.091938	0.70489	2719	1	-7.1231	0.69113	0.7336	1.0	13255	0	0
Map2	3	0.045886	0.091938	0.70489	2720	2	-6.0834	0.85	0.89481	1.0	16344	0	0
Flad1	3	0.045895	0.091938	0.70489	2721	3	-2.9855	0.9541	0.97395	1.0	18491	0	0
Rpl7a	2	0.045943	0.06544	0.67026	2722	2	-4.8534	0.95406	0.97635	1.0	18489	0	0
Rnf130	4	0.045949	0.10071	0.71345	2723	4	-1.8311	0.95405	0.97217	1.0	18488	0	0
Klk1b9	4	0.045957	0.10071	0.71345	2724	4	-1.2284	0.95404	0.97217	1.0	18487	0	0
Fiz1	4	0.046018	0.10071	0.71345	2725	4	-3.2625	0.95398	0.97217	1.0	18486	0	0
Sgca	4	0.046022	0.10079	0.71345	2726	3	-5.2085	0.51908	0.57119	1.0	10501	1	2.1919
Rbm43	4	0.046022	0.10079	0.71345	2727	3	-5.3843	0.80889	0.84842	1.0	15535	0	0
Eif3e	4	0.046022	0.10079	0.71345	2728	3	-4.8268	0.69303	0.73096	1.0	13290	1	1.6018
Gng12	4	0.046022	0.10079	0.71345	2729	3	-5.1216	0.87202	0.90346	1.0	16767	0	0
Rin1	4	0.046022	0.10079	0.71345	2730	3	-5.2999	0.88153	0.91499	1.0	16953	0	0
Gfi1b	4	0.046022	0.10079	0.71345	2731	3	-4.8837	0.16473	0.25408	1.0	5102	1	4.9537
Slc33a1	4	0.046022	0.10079	0.71345	2732	4	-4.187	0.93827	0.96387	1.0	18137	0	0
Kif20a	4	0.046022	0.10079	0.71345	2733	3	-4.9607	0.72237	0.75456	1.0	13824	0	0
Mllt6	4	0.046022	0.10079	0.71345	2734	3	-4.9116	0.62817	0.6587	1.0	12196	1	2.2185
Snx8	4	0.046023	0.10087	0.71345	2735	2	-4.3177	0.82675	0.86278	1.0	15903	0	0
Pms1	4	0.046023	0.10087	0.71345	2736	2	-3.656	0.0030773	0.011036	0.716024	271	2	6.3296
Tia1	4	0.046023	0.10087	0.71345	2737	3	-4.8952	0.86148	0.89538	1.0	16570	0	0
Rwdd4a	4	0.046023	0.10087	0.71345	2738	2	-6.5111	0.21074	0.32985	1.0	6104	1	4.7204
Olfr1510	4	0.046023	0.10087	0.71345	2739	3	-4.4362	0.89099	0.92199	1.0	17128	0	0
Chat	4	0.046023	0.10087	0.71345	2740	1	-7.2215	0.016097	0.044114	0.88656	888	3	4.1272
Reep5	3	0.046055	0.091938	0.70489	2741	3	-4.133	0.95395	0.97395	1.0	18485	0	0
Vstm2a	4	0.046084	0.10109	0.71345	2742	4	-1.7658	0.95392	0.97189	1.0	18484	0	0
Olfr291	4	0.046215	0.10109	0.71345	2743	4	-3.0628	0.95379	0.97189	1.0	18483	0	0
Crip2	4	0.046449	0.10132	0.71345	2744	4	-3.0373	0.95355	0.9716	1.0	18480	0	0
Mrpl14	3	0.04649	0.092151	0.705474	2745	2	-5.978	0.11004	0.17264	0.954013	3818	1	5.3704
Ecd	3	0.04649	0.092151	0.705474	2746	3	-4.7455	0.94377	0.96733	1.0	18249	0	0
Sugt1	4	0.046535	0.10132	0.71345	2747	4	-1.6793	0.95346	0.9716	1.0	18478	0	0
Cyp51	4	0.046583	0.10144	0.71345	2748	4	-1.446	0.95342	0.97146	1.0	18477	0	0
Lhfpl5	4	0.046613	0.10155	0.71345	2749	4	-2.5781	0.95339	0.97133	1.0	18475	0	0
Gucy2f	4	0.046623	0.10155	0.71345	2750	3	-5.0241	0.74386	0.77922	1.0	14260	0	0
Clec2e	4	0.04665	0.10155	0.71345	2751	4	-2.4958	0.95335	0.97133	1.0	18474	0	0
C2cd4c	4	0.046676	0.10155	0.71345	2752	3	-5.0103	0.75772	0.7896	1.0	14553	0	0
Sult1e1	4	0.046679	0.1026	0.71345	2753	2	-6.2258	0.556	0.59549	1.0	11016	1	2.189
Lrrc23	4	0.046679	0.1026	0.71345	2754	3	-4.2217	0.69137	0.72645	1.0	13260	1	2.0144
Rab9b	4	0.046679	0.1026	0.71345	2755	2	-4.2966	0.52084	0.57269	1.0	10526	1	2.5665
Usp22	4	0.046679	0.1026	0.71345	2756	3	-5.0459	0.87745	0.90766	1.0	16871	0	0
Ndufa8	4	0.046679	0.1026	0.71345	2757	2	-6.4913	0.69028	0.72496	1.0	13242	1	1.6244
Paip2	4	0.046679	0.1026	0.71345	2758	2	-6.4201	0.75774	0.7896	1.0	14554	0	0
Cdh13	4	0.046679	0.1026	0.71345	2759	2	-6.2312	0.79583	0.83189	1.0	15302	0	0
Olfr666	4	0.046679	0.1026	0.71345	2760	2	-6.5629	0.81931	0.85714	1.0	15735	0	0
Ctf2	4	0.046679	0.1026	0.71345	2761	3	-4.4377	0.82267	0.85907	1.0	15808	0	0
Gskip	3	0.046701	0.092564	0.707324	2762	2	-3.5754	0.44905	0.47686	1.0	9540	1	2.8836
Retnlb	4	0.046723	0.10365	0.71345	2763	4	-2.1116	0.95328	0.97133	1.0	18473	0	0
Srm	4	0.046737	0.10365	0.71345	2764	3	-4.2264	0.80894	0.84941	1.0	15536	0	0
Olfr938	4	0.046763	0.10365	0.71345	2765	4	-2.5326	0.95324	0.97133	1.0	18472	0	0
Ippk	3	0.046771	0.092564	0.707324	2766	3	-4.0745	0.95323	0.9737	1.0	18471	0	0
Acyp1	4	0.046773	0.10365	0.71345	2767	3	-4.3305	0.75792	0.7896	1.0	14558	0	0
Spata17	4	0.046776	0.10365	0.71345	2768	4	-0.58748	0.95322	0.97133	1.0	18470	0	0
Cd99l2	4	0.046796	0.10365	0.71345	2769	3	-3.882	0.59942	0.63449	1.0	11706	1	2.6414
Gm13040	4	0.046796	0.10365	0.71345	2770	3	-3.9285	0.43742	0.5113	1.0	9397	1	3.1344
Olfr1512	4	0.046796	0.10365	0.71345	2771	1	-7.2156	0.015557	0.04334	0.88656	862	1	7.7106
Morc3	4	0.046796	0.10365	0.71345	2772	2	-4.4956	0.54713	0.58785	1.0	10890	1	2.7721
Olfr1269	4	0.046796	0.10365	0.71345	2773	1	-7.2156	0.040109	0.09307	0.920867	1860	3	3.7905
Slc25a23	4	0.046796	0.10365	0.71345	2774	2	-4.5308	0.77475	0.81512	1.0	14900	0	0
Smim6	4	0.046796	0.10365	0.71345	2775	3	-4.8279	0.86037	0.89538	1.0	16549	0	0
Cnep1r1	4	0.046796	0.10365	0.71345	2776	3	-4.5733	0.90097	0.93077	1.0	17326	0	0
Spag9	4	0.046796	0.10365	0.71345	2777	1	-7.2156	0.34666	0.47219	1.0	8364	1	3.4034
Man2a1	4	0.046796	0.10365	0.71345	2778	2	-3.9393	0.037455	0.086548	0.920867	1752	2	4.7119
Kcnf1	4	0.046923	0.10396	0.71345	2779	3	-4.9926	0.88691	0.91951	1.0	17049	0	0
Mrps6	1	0.04694	0.042209	0.581043	2780	1	-6.6175	0.95306	0.95779	1.0	18468	0	0
Man2c1	4	0.046954	0.10396	0.71345	2781	4	-3.5757	0.95305	0.97133	1.0	18467	0	0
Pgm3	2	0.046993	0.067551	0.673054	2782	2	-5.1356	0.95301	0.9759	1.0	18461	0	0
Snrnp40	2	0.046993	0.067551	0.673054	2783	2	-5.6374	0.95301	0.9759	1.0	18466	0	0
Erlin2	2	0.046993	0.067551	0.673054	2784	2	-4.7457	0.95301	0.9759	1.0	18462	0	0
Pggt1b	2	0.046993	0.067551	0.673054	2785	2	-5.6135	0.95301	0.9759	1.0	18465	0	0
Ddx49	2	0.046993	0.067551	0.673054	2786	2	-5.0768	0.95301	0.9759	1.0	18464	0	0
Tsr1	2	0.046993	0.067551	0.673054	2787	2	-4.9901	0.95301	0.9759	1.0	18463	0	0
Slc47a2	4	0.047002	0.10396	0.71345	2788	3	-4.7901	0.90649	0.93557	1.0	17456	0	0
Olfr340	4	0.047051	0.10396	0.71345	2789	4	-2.7083	0.95295	0.97133	1.0	18460	0	0
Msantd1	4	0.047075	0.10396	0.71345	2790	4	-2.3702	0.95292	0.97133	1.0	18459	0	0
Btc	4	0.047102	0.10396	0.71345	2791	4	-1.9646	0.9529	0.97133	1.0	18458	0	0
Olfr247	4	0.047281	0.10419	0.71345	2792	4	-3.228	0.95272	0.97104	1.0	18454	0	0
Zfp960	4	0.04731	0.10419	0.71345	2793	4	-1.684	0.95269	0.97104	1.0	18452	0	0
Arl5c	4	0.047327	0.10419	0.71345	2794	4	-2.4485	0.95267	0.97104	1.0	18451	0	0
Cbx3	3	0.04733	0.093214	0.709651	2795	3	-3.5703	0.95267	0.97288	1.0	18450	0	0
Rnf165	4	0.047405	0.10419	0.71345	2796	4	-2.1554	0.95259	0.97104	1.0	18449	0	0
Txlna	3	0.047443	0.093214	0.709651	2797	2	-6.0315	0.06369	0.098938	0.920867	2691	1	4.9286
Pafah1b1	3	0.047443	0.093214	0.709651	2798	3	-4.8467	0.92141	0.9482	1.0	17788	0	0
Tbcc	3	0.047443	0.093214	0.709651	2799	2	-5.7188	0.59665	0.63253	1.0	11637	0	-0.69164
Mettl21b	3	0.047443	0.093214	0.709651	2800	2	-5.9456	0.83907	0.88199	1.0	16140	0	0
Zhx3	4	0.047484	0.10419	0.71345	2801	4	-1.6747	0.95252	0.97104	1.0	18448	0	0
Dusp19	3	0.047554	0.093214	0.709651	2802	2	-3.5619	0.022008	0.050835	0.88656	1136	1	6.8543
Gm14420	3	0.047554	0.093214	0.709651	2803	1	-7.1103	0.22328	0.31127	1.0	6383	1	3.9478
Alkbh4	3	0.047576	0.093214	0.709651	2804	3	-3.3606	0.95242	0.97288	1.0	18446	0	0
Olfr668	4	0.047595	0.10419	0.71345	2805	2	-3.7299	0.043949	0.10173	0.920867	2013	2	4.351
Olfr1367	4	0.047595	0.10419	0.71345	2806	2	-4.4966	0.019664	0.048333	0.88656	1042	2	5.2876
Mlkl	4	0.047595	0.10419	0.71345	2807	3	-4.3466	0.4685	0.52936	1.0	9788	1	2.8638
Epb4.2	4	0.047595	0.10419	0.71345	2808	2	-6.6157	0.15144	0.23466	1.0	4775	1	5.2371
Pcdhgb7	4	0.047595	0.10419	0.71345	2809	2	-5.79	0.43998	0.51285	1.0	9432	1	2.8891
Bex6	4	0.047595	0.10419	0.71345	2810	2	-5.2372	0.4215	0.5023	1.0	9210	1	3.2354
Ern1	4	0.047595	0.10419	0.71345	2811	2	-3.6873	0.5265	0.5757	1.0	10604	1	2.7212
Rhbg	4	0.047595	0.10419	0.71345	2812	2	-3.6175	0.73733	0.76572	1.0	14125	0	0
Irf4	4	0.047595	0.10419	0.71345	2813	2	-3.7476	0.81146	0.85233	1.0	15578	0	0
Gfm2	3	0.047595	0.093214	0.709651	2814	3	-4.3422	0.95241	0.97288	1.0	18445	0	0
Ndufs8	4	0.047639	0.10436	0.71345	2815	3	-5.288	0.91039	0.94061	1.0	17555	0	0
Chrna10	4	0.047639	0.10436	0.71345	2816	3	-4.7692	0.81104	0.85233	1.0	15574	0	0
Arl6ip1	4	0.047639	0.10436	0.71345	2817	3	-4.3027	0.79534	0.83189	1.0	15292	0	0
Slc25a30	4	0.047639	0.10436	0.71345	2818	3	-5.0853	0.64396	0.67673	1.0	12425	1	2.2601
Mief2	4	0.047639	0.10436	0.71345	2819	3	-5.4338	0.37555	0.48279	1.0	8681	1	3.1518
Slc39a5	4	0.047639	0.10436	0.71345	2820	3	-5.0149	0.22834	0.3561	1.0	6497	1	4.6609
Vwa9	4	0.047639	0.10436	0.71345	2821	3	-4.718	0.61558	0.64496	1.0	11973	1	2.321
Zfp7	4	0.047639	0.10436	0.71345	2822	3	-4.1532	0.93051	0.95803	1.0	17962	0	0
Tgfa	4	0.047639	0.10436	0.71345	2823	3	-4.2339	0.49139	0.5443	1.0	10092	1	2.8965
Stau1	4	0.047639	0.10436	0.71345	2824	3	-4.2431	0.46069	0.52336	1.0	9703	1	1.7552
Slc22a13	4	0.047639	0.10436	0.71345	2825	3	-5.4872	0.5388	0.58176	1.0	10775	1	2.6318
Atp13a1	4	0.047721	0.10452	0.71345	2826	4	-2.3623	0.95228	0.97104	1.0	18444	0	0
Rhox3g	4	0.047732	0.10452	0.71345	2827	4	-2.6308	0.95227	0.97104	1.0	18443	0	0
Usp33	4	0.04778	0.10452	0.71345	2828	2	-6.3796	0.83571	0.8718	1.0	16065	0	0
Slc10a1	4	0.04778	0.10452	0.71345	2829	2	-6.1802	0.47948	0.53832	1.0	9936	1	2.7853
9330182L06Rik	4	0.04778	0.10452	0.71345	2830	4	-3.791	0.94564	0.96841	1.0	18295	0	0
Coa3	4	0.04778	0.10452	0.71345	2831	3	-5.0489	0.8812	0.91499	1.0	16947	0	0
Chchd6	4	0.04778	0.10452	0.71345	2832	2	-4.1411	0.83075	0.86825	1.0	15978	0	0
Sytl2	4	0.04778	0.10452	0.71345	2833	3	-4.9446	0.12797	0.20968	1.0	4212	1	6.2387
Siglece	4	0.04778	0.10452	0.71345	2834	3	-4.5741	0.86646	0.8999	1.0	16646	0	0
Pbx3	4	0.04778	0.10452	0.71345	2835	4	-3.473	0.94915	0.96958	1.0	18376	0	0
Capn1	4	0.04778	0.10452	0.71345	2836	2	-6.454	0.099541	0.16662	0.947231	3564	2	3.6194
Neurog2	4	0.04778	0.10452	0.71345	2837	2	-6.646	0.020422	0.048847	0.88656	1066	2	5.5521
Xkr8	4	0.04778	0.10452	0.71345	2838	3	-5.0277	0.9133	0.9426	1.0	17617	0	0
Folr1	4	0.047827	0.10452	0.71345	2839	4	-1.3645	0.95217	0.97104	1.0	18440	0	0
Tcea1	4	0.047991	0.10452	0.71345	2840	4	-2.0318	0.95201	0.97104	1.0	18439	0	0
Vmn1r79	2	0.048006	0.068097	0.673054	2841	2	-5.0698	0.95199	0.97524	1.0	18438	0	0
Tardbp	4	0.048098	0.10452	0.71345	2842	4	-3.58	0.9519	0.97104	1.0	18436	0	0
Rad23a	4	0.048153	0.10452	0.71345	2843	3	-4.5598	0.8819	0.91499	1.0	16959	0	0
Cbr1	4	0.048266	0.10469	0.71345	2844	4	-1.5104	0.95173	0.97104	1.0	18435	0	0
Prkch	4	0.04831	0.10469	0.71345	2845	3	-4.8948	0.47317	0.53085	1.0	9852	1	2.9891
Ccdc47	4	0.048329	0.10469	0.71345	2846	4	-3.8392	0.95167	0.97104	1.0	18433	0	0
Prkcq	4	0.048365	0.10469	0.71345	2847	4	-3.643	0.94528	0.96779	1.0	18289	0	0
Rab11fip4	4	0.048367	0.10469	0.71345	2848	4	-0.62678	0.95163	0.97104	1.0	18432	0	0
Ice2	4	0.048393	0.10503	0.71345	2849	2	-3.6338	0.85468	0.89156	1.0	16447	0	0
Tnfsf8	4	0.048393	0.10503	0.71345	2850	2	-6.3223	0.82616	0.86093	1.0	15886	0	0
Olfr74	4	0.048393	0.10503	0.71345	2851	2	-5.1865	0.46793	0.52936	1.0	9785	1	2.612
Vmn1r87	4	0.048393	0.10503	0.71345	2852	1	-7.2036	0.23029	0.35726	1.0	6538	2	2.4032
Olfr629	4	0.048393	0.10503	0.71345	2853	1	-7.2036	0.15484	0.24077	1.0	4876	2	3.226
Herc6	4	0.048393	0.10503	0.71345	2854	2	-3.862	0.67493	0.70541	1.0	12958	1	1.9749
Cox8c	4	0.048393	0.10503	0.71345	2855	1	-7.2036	0.54795	0.58785	1.0	10902	1	2.4307
Mpped1	4	0.048393	0.10503	0.71345	2856	1	-7.2036	0.53567	0.58176	1.0	10737	1	2.9165
Alx1	4	0.048393	0.10503	0.71345	2857	1	-3.5472	0.39417	0.49028	1.0	8885	1	3.3727
Aurka	4	0.048409	0.10503	0.71345	2858	4	-3.3365	0.95159	0.97104	1.0	18431	0	0
Setd3	4	0.048507	0.10503	0.71345	2859	3	-5.0118	0.5388	0.58176	1.0	10774	1	2.6318
Pex11a	4	0.048561	0.10503	0.71345	2860	4	-1.0572	0.95144	0.97104	1.0	18430	0	0
AU021092	4	0.048587	0.10503	0.71345	2861	3	-3.879	0.69315	0.73096	1.0	13291	1	1.9255
Serpinb1c	4	0.048591	0.10503	0.71345	2862	4	-0.90518	0.95141	0.97104	1.0	18429	0	0
Tmem41b	3	0.048622	0.095511	0.71345	2863	3	-4.1531	0.91099	0.93832	1.0	17571	0	0
Ndufaf1	3	0.048622	0.095511	0.71345	2864	3	-4.3245	0.90901	0.93735	1.0	17524	0	0
Prkar2a	3	0.048622	0.095511	0.71345	2865	2	-6.2522	0.089386	0.13737	0.920867	3315	1	5.8005
Camk2b	4	0.048627	0.10503	0.71345	2866	4	-3.6177	0.95137	0.97104	1.0	18428	0	0
1700003F12Rik	4	0.048649	0.10503	0.71345	2867	4	-1.8194	0.95135	0.97104	1.0	18427	0	0
Prss28	4	0.048649	0.10503	0.71345	2868	4	-0.64384	0.95135	0.97104	1.0	18426	0	0
Gpr137c	4	0.048663	0.10503	0.71345	2869	4	-2.7463	0.95134	0.97104	1.0	18425	0	0
Mcam	4	0.048713	0.10526	0.71345	2870	4	-1.7607	0.95129	0.97075	1.0	18423	0	0
Gm436	4	0.048901	0.10526	0.71345	2871	4	-2.4791	0.9511	0.97075	1.0	18421	0	0
Parp4	4	0.048929	0.10553	0.71345	2872	3	-4.8262	0.77958	0.81628	1.0	14982	0	0
Ttll6	4	0.048929	0.10553	0.71345	2873	3	-4.2497	0.90369	0.93404	1.0	17393	0	0
Cyp2c40	4	0.048929	0.10553	0.71345	2874	2	-6.373	0.20728	0.32649	1.0	6018	2	3.2756
Naaladl1	4	0.048929	0.10553	0.71345	2875	3	-4.7263	0.61458	0.64349	1.0	11953	1	2.2703
Kcnk3	4	0.048929	0.10553	0.71345	2876	3	-4.4956	0.85815	0.89538	1.0	16508	0	0
Rep15	4	0.048929	0.10553	0.71345	2877	3	-4.1441	0.54475	0.58637	1.0	10858	1	1.6546
Cry1	4	0.048929	0.10553	0.71345	2878	2	-6.4931	0.40229	0.49176	1.0	8979	1	2.9232
Zfp54	4	0.048929	0.10553	0.71345	2879	2	-6.1262	0.70787	0.73999	1.0	13535	0	0
Tssk6	4	0.048929	0.10553	0.71345	2880	3	-4.4614	0.7597	0.79091	1.0	14593	0	0
Cyp2w1	4	0.048943	0.10581	0.71345	2881	4	-2.8416	0.95106	0.97075	1.0	18420	0	0
Fam179a	4	0.048965	0.10581	0.71345	2882	4	-1.158	0.95103	0.97075	1.0	18419	0	0
Mzt1	2	0.049	0.068514	0.673054	2883	2	-5.0523	0.951	0.97474	1.0	18418	0	0
Rpl28	2	0.049	0.068514	0.673054	2884	2	-5.2903	0.951	0.97474	1.0	18415	0	0
Yae1d1	2	0.049	0.068514	0.673054	2885	2	-4.8828	0.951	0.97474	1.0	18414	0	0
Arcn1	2	0.049	0.068514	0.673054	2886	2	-5.3852	0.951	0.97474	1.0	18417	0	0
Emg1	2	0.049	0.068514	0.673054	2887	2	-4.6608	0.951	0.97474	1.0	18416	0	0
Kif1b	4	0.049021	0.10581	0.71345	2888	4	-2.6577	0.95098	0.97075	1.0	18413	0	0
Srebf1	4	0.049079	0.10581	0.71345	2889	4	-0.58993	0.95092	0.97075	1.0	18412	0	0
Armc5	3	0.049123	0.095849	0.71345	2890	3	-2.8415	0.95088	0.97246	1.0	18411	0	0
Rpl7l1	3	0.049123	0.095849	0.71345	2891	3	-4.6124	0.95088	0.97246	1.0	18409	0	0
4930555G01Rik	3	0.049123	0.095849	0.71345	2892	3	-4.3946	0.95088	0.97246	1.0	18408	0	0
Pold1	3	0.049123	0.095849	0.71345	2893	3	-3.9373	0.95088	0.97246	1.0	18407	0	0
Stard7	3	0.049123	0.095849	0.71345	2894	3	-4.1591	0.95088	0.97246	1.0	18410	0	0
Slc35d3	4	0.049171	0.10581	0.71345	2895	4	-2.2807	0.95083	0.97075	1.0	18406	0	0
Ints7	4	0.049204	0.10581	0.71345	2896	3	-5.5378	0.29651	0.43769	1.0	7845	1	2.9952
Zbed4	4	0.049204	0.10581	0.71345	2897	4	-3.566	0.94451	0.96747	1.0	18273	0	0
Mctp2	4	0.049204	0.10581	0.71345	2898	3	-5.3812	0.86875	0.90059	1.0	16697	0	0
Bcl2a1d	4	0.049204	0.10581	0.71345	2899	3	-4.9486	0.45209	0.51881	1.0	9575	1	2.5485
Zfp661	4	0.049204	0.10581	0.71345	2900	3	-4.799	0.49814	0.55026	1.0	10194	1	2.6782
Mettl21a	4	0.049204	0.10581	0.71345	2901	3	-5.0443	0.56159	0.60003	1.0	11106	1	2.1475
Olfr895	4	0.049204	0.10581	0.71345	2902	3	-5.2854	0.92375	0.95248	1.0	17839	0	0
Serpinb3c	4	0.049241	0.10726	0.720438	2903	3	-4.278	0.042073	0.099846	0.920867	1933	1	6.2732
Kirrel2	4	0.049241	0.10726	0.720438	2904	2	-4.2186	0.61633	0.64651	1.0	11985	1	2.0846
Hpd	4	0.049241	0.10726	0.720438	2905	3	-4.8587	0.90671	0.93608	1.0	17464	0	0
Pdzd9	4	0.049241	0.10726	0.720438	2906	1	-7.1975	0.57351	0.61212	1.0	11278	1	2.5683
Gas2l2	4	0.049241	0.10726	0.720438	2907	2	-6.4058	0.44484	0.51285	1.0	9481	1	3.2558
Glud1	4	0.049241	0.10726	0.720438	2908	2	-4.1518	0.20027	0.31606	1.0	5861	2	3.1904
Mamld1	4	0.049241	0.10726	0.720438	2909	2	-4.4592	0.83741	0.87266	1.0	16106	0	0
Radil	4	0.049241	0.10726	0.720438	2910	3	-3.5597	0.92892	0.95647	1.0	17934	0	0
Prl2c3	4	0.049241	0.10726	0.720438	2911	3	-4.3433	0.81339	0.85233	1.0	15623	0	0
Hey2	4	0.049241	0.10726	0.720438	2912	2	-5.8307	0.10842	0.17943	0.960593	3783	2	3.9122
Cdx2	4	0.049244	0.10872	0.724964	2913	4	-1.7936	0.95076	0.97075	1.0	18405	0	0
Uhrf1	2	0.049301	0.068515	0.673054	2914	2	-5.4306	0.92819	0.95684	1.0	17921	0	0
Cd70	4	0.049305	0.10872	0.724964	2915	4	-1.6267	0.95069	0.97075	1.0	18404	0	0
Macf1	4	0.049316	0.10872	0.724964	2916	4	-2.2829	0.95068	0.97075	1.0	18403	0	0
Defb6	4	0.049409	0.10872	0.724964	2917	4	-2.6491	0.95059	0.97075	1.0	18402	0	0
Olfr809	3	0.049511	0.09595	0.71345	2918	1	-7.0974	0.17033	0.27993	1.0	5218	1	4.3725
Gphb5	4	0.049523	0.10872	0.724964	2919	3	-3.8527	0.4666	0.52635	1.0	9766	1	2.7001
Dffa	4	0.049782	0.10896	0.724964	2920	4	-1.4985	0.95022	0.97045	1.0	18399	0	0
Naa16	4	0.049818	0.10896	0.724964	2921	4	-4.2365	0.95018	0.97045	1.0	18398	0	0
Vps16	3	0.049832	0.096582	0.71345	2922	2	-6.0302	0.0098415	0.02846	0.88656	606	1	7.9027
Stap2	3	0.049832	0.096582	0.71345	2923	2	-5.742	0.31996	0.37597	1.0	8088	1	3.3475
Gm21319	2	0.050055	0.068515	0.673054	2924	2	-5.0735	0.94995	0.97474	1.0	18395	0	0
Sympk	2	0.050055	0.068515	0.673054	2925	2	-5.1197	0.94995	0.97474	1.0	18396	0	0
St6galnac1	4	0.050067	0.10896	0.724964	2926	4	-1.9825	0.94993	0.97045	1.0	18394	0	0
Fbxo40	4	0.050097	0.10896	0.724964	2927	3	-5.0213	0.35748	0.47374	1.0	8490	1	3.0197
Plau	4	0.05014	0.10924	0.724964	2928	2	-6.2484	0.48473	0.54132	1.0	9999	1	3.0666
Cfhr2	4	0.05014	0.10924	0.724964	2929	3	-4.092	0.86967	0.90129	1.0	16716	0	0
Hnrnpa0	4	0.05014	0.10924	0.724964	2930	2	-6.2223	0.09471	0.15625	0.920867	3442	2	3.3134
Spata31d1c	4	0.05014	0.10924	0.724964	2931	2	-6.3307	0.48629	0.5443	1.0	10024	1	3.0767
Cdh22	4	0.05014	0.10924	0.724964	2932	2	-6.2223	0.14899	0.23368	1.0	4713	1	5.4224
Wibg	4	0.05014	0.10924	0.724964	2933	3	-4.8976	0.68557	0.72344	1.0	13154	1	1.9292
H2-Ab1	4	0.05014	0.10924	0.724964	2934	2	-6.1257	0.20642	0.32465	1.0	5996	2	1.9239
Tmem107	4	0.05014	0.10924	0.724964	2935	3	-4.6879	0.69899	0.737	1.0	13394	1	1.7578
Reg1	4	0.05014	0.10924	0.724964	2936	3	-4.5123	0.43731	0.5113	1.0	9396	1	3.0628
Kcnk7	4	0.05014	0.10924	0.724964	2937	4	-3.5405	0.94615	0.96871	1.0	18306	0	0
