"id","HumanGene"
"Nfatc1","NFATC1"
"Nfatc2","NFATC2"
"Nfatc2ip","NFATC2IP"
"Nfatc3","NFATC3"
"Nfe2","NFE2"
"Nfe2l1","NFE2L1"
"Nfe2l2","NFE2L2"
"Nfe2l3","NFE2L3"
"Nfia","NFIA"
"Nfib","NFIB"
"Nfic","NFIC"
"Nfil3","NFIL3"
"Nfix","NFIX"
"Nfkb1","NFKB1"
"Nfkb2","NFKB2"
"Nfkbia","NFKBIA"
"Nfkbib","NFKBIB"
"Nfkbie","NFKBIE"
"Nfkbil1","NFKBIL1"
"Nefl","NEFL"
"Nefm","NEFM"
"Nfs1","NFS1"
"Nfya","NFYA"
"Nfyb","NFYB"
"Nfyc","NFYC"
"Klk1b4","KLK3"
"Ngf","NGF"
"Klk1b3","KLK3"
"Ngfr","NGFR"
"Nhlh1","NHLH1"
"Nhlh2","NHLH2"
"Nid1","NID1"
"Nid2","NID2"
"Nin","NIN"
"Ninj1","NINJ1"
"Nipsnap1","NIPSNAP1"
"Nktr","NKTR"
"Nkx2-2","NKX2-2"
"Nkx2-3","NKX2-3"
"Nkx2-5","NKX2-5"
"Nkx2-6","NKX2-6"
"Nkx2-9","NKX2-8"
"Nkx3-1","NKX3-1"
"Nkx6-1","NKX6-1"
"Nlk","NLK"
"Mrpl40","MRPL40"
"Nmbr","NMBR"
"Nme1","NME1"
"Nme2","NME2"
"Nqo1","NQO1"
"Nqo2","NQO2"
"Cd244a","CD244"
"Nmt1","NMT1"
"Nmt2","NMT2"
"Mycn","MYCN"
"Nnat","NNAT"
"Nnmt","NNMT"
"Rrp1","RRP1"
"Nnt","NNT"
"Emc8","EMC8"
"Nodal","NODAL"
"Mrpl49","MRPL49"
"Nog","NOG"
"Nr4a3","NR4A3"
"Nos1","NOS1"
"Nos2","NOS2"
"Nos3","NOS3"
"Notch1","NOTCH1"
"Notch2","NOTCH2"
"Ints6","INTS6"
"Notch3","NOTCH3"
"Notch4","NOTCH4"
"Ccn3","CCN3"
"Zfp638","ZNF638"
"Uhrf1","UHRF1"
"Nup50","NUP50"
"Npas1","NPAS1"
"Npas2","NPAS2"
"Npc1","NPC1"
"Npdc1","NPDC1"
"Npm1","NPM1"
"Npm3","NPM3"
"Pnoc","PNOC"
"Nppb","NPPB"
"Nppc","NPPC"
"Npr1","NPR1"
"Npr3","NPR3"
"Ctnnd2","CTNND2"
"Nptx1","NPTX1"
"Npy1r","NPY1R"
"Npy2r","NPY2R"
"Npy5r","NPY5R"
"Npy6r","NPY6R"
"Nr1i2","NR1I2"
"Slc11a1","SLC11A1"
"Slc11a2","SLC11A2"
"Nrap","NRAP"
"Nras","NRAS"
"Nrf1","NRF1"
"Nrg3","NRG3"
"Nrl","NRL"
"Nrp1","NRP1"
"Nrp2","NRP2"
"Nrtn","NRTN"
"Nrxn1","NRXN1"
"Nrxn2","NRXN2"
"Nrxn3","NRXN3"
"Nsd1","NSD1"
"Nsdhl","NSDHL"
"Nsf","NSF"
"Nsg1","NSG1"
"Nsg2","HMP19"
"Musk","MUSK"
"Nsmaf","NSMAF"
"Ntan1","NTAN1"
"Ntf3","NTF3"
"Nthl1","NTHL1"
"Ntn1","NTN1"
"Ntn3","NTN3"
"Ntrk1","NTRK1"
"Ntrk2","NTRK2"
"Ntrk3","NTRK3"
"Ddr2","DDR2"
"Ntsr1","NTSR1"
"Ntsr2","NTSR2"
"Dusp8","DUSP8"
"Nucb1","NUCB1"
"Nudc","NUDC"
"Numb","NUMB"
"Numbl","NUMBL"
"Nup62","NUP62"
"Nr4a2","NR4A2"
"Nxn","NXN"
"Nxph1","NXPH1"
"Nxph2","NXPH2"
"Gpr143","GPR143"
"Oat","OAT"
"Oaz1","OAZ1"
"Oaz2","OAZ2"
"Oc90","OC90"
"Ocln","OCLN"
"Ocm","OCM"
"Odc1","ODC1"
"Odf1","ODF1"
"Odf2","ODF2"
"Nobox","NOBOX"
"Sebox","SEBOX"
"Ogdh","OGDH"
"Ogg1","OGG1"
"Ogn","OGN"
"Fam3d","FAM3D"
"Fxyd5","FXYD5"
"Oit3","OIT3"
"Omg","OMG"
"Omp","OMP"
"Tnfrsf11b","TNFRSF11B"
"Oprd1","OPRD1"
"Oprk1","OPRK1"
"Oprl1","OPRL1"
"Oprm1","OPRM1"
"Sigmar1","SIGMAR1"
"Orc1","ORC1"
"Orc2","ORC2"
"Slc22a6","SLC22A6"
"Slc22a18","SLC22A18"
"Orm1","ORM1"
"Orm2","ORM1"
"Orm3","ORM1"
"Slc25a15","SLC25A15"
"Sqstm1","SQSTM1"
"Osm","OSM"
"Osmr","OSMR"
"Hspa4l","HSPA4L"
"Otc","OTC"
"Cldn11","CLDN11"
"Otog","OTOG"
"Otp","OTP"
"Otx1","OTX1"
"Otx2","OTX2"
"Ovol1","OVOL1"
"Oxt","OXT"
"Oxtr","OXTR"
"Oca2","OCA2"
"Mybbp1a","MYBBP1A"
"P2rx1","P2RX1"
"P2rx4","P2RX4"
"P2rx7","P2RX7"
"P2rx6","P2RX6"
"P2ry1","P2RY1"
"P2ry2","P2RY2"
"P4ha1","P4HA1"
"P4ha2","P4HA2"
"P4hb","P4HB"
"Bloc1s6","BLOC1S6"
"Pabpc1","PABPC1"
"Pabpc2","PABPC1"
"Pafah1b1","PAFAH1B1"
"Pafah1b2","PAFAH1B2"
"Pafah1b3","PAFAH1B3"
"Prdx1","PRDX1"
"Pah","PAH"
"Pak1","PAK1"
"Pak3","PAK3"
"Palm","PALM"
"Pam","PAM"
"Cntn3","CNTN3"
"Reg3b","REG3A"
"Pappa","PAPPA"
"Pax1","PAX1"
"Pax2","PAX2"
"Pax3","PAX3"
"Pax4","PAX4"
"Pax5","PAX5"
"Pax6","PAX6"
"Pax7","PAX7"
"Pax8","PAX8"
"Pax9","PAX9"
"Pbx1","PBX1"
"Pbx2","PBX2"
"Pbx3","PBX3"
"Igbp1","IGBP1"
"Kat2b","KAT2B"
"Pcbp2","PCBP2"
"Pcdh10","PCDH10"
"Pcdh8","PCDH8"
"Pck1","PCK1"
"Pcm1","PCM1"
"Pcmt1","PCMT1"
"Pcna","PCNA"
"Pcnt","PCNT"
"Pcolce","PCOLCE"
"Pcp2","PCP2"
"Pcp4","PCP4"
"Pcsk1","PCSK1"
"Pcsk2","PCSK2"
"Furin","FURIN"
"Pcsk4","PCSK4"
"Pcsk5","PCSK5"
"Pcsk6","PCSK6"
"Pcsk7","PCSK7"
"Cdk16","CDK16"
"Cdk18","CDK18"
"Pctp","PCTP"
"Pcx","PC"
"Pdcd1","PDCD1"
"Pdcd2","PDCD2"
"Pdcd4","PDCD4"
"Pdcd6","PDCD6"
"Pdcd6ip","PDCD6IP"
"Pdcd11","PDCD11"
"Pde1a","PDE1A"
"Pde1b","PDE1B"
"Pde1c","PDE1C"
"Pde3b","PDE3B"
"Pde4a","PDE4A"
"Pde4b","PDE4B"
"Pde6d","PDE6D"
"Pde7a","PDE7A"
"Pde8a","PDE8A"
"Pde9a","PDE9A"
"Pde6b","PDE6B"
"Pde6g","PDE6G"
"Pdgfa","PDGFA"
"Pdgfb","PDGFB"
"Pdgfra","PDGFRA"
"Pdgfrb","PDGFRB"
"Pdha1","PDHA1"
"Pdha2","PDHA2"
"Padi1","PADI1"
"Padi2","PADI2"
"Padi3","PADI3"
"Padi4","PADI4"
"Pdk2","PDK2"
"Enpp1","ENPP1"
"Enpp2","ENPP2"
"Pdpk1","PDPK1"
"Pdx1","PDX1"
"Pdyn","PDYN"
"Pea15a","PEA15"
"Etv4","ETV4"
"Pecam1","PECAM1"
"Peg3","PEG3"
"Pemt","PEMT"
"Penk","PENK"
"Pepd","PEPD"
"Per1","PER1"
"Per2","PER2"
"Per3","PER3"
"Dcaf8l","DCAF8L1"
"Pex11a","PEX11A"
"Pex11b","PEX11B"
"Pex16","PEX16"
"Pex7","PEX7"
"Cfp","CFP"
"Pfdn2","PFDN2"
"Pfkfb1","PFKFB1"
"Pfkfb2","PFKFB2"
"Pfkl","PFKL"
"Pfkm","PFKM"
"Pfn1","PFN1"
"Pfn2","PFN2"
"Prf1","PRF1"
"Cdk14","CDK14"
"Pgam1","PGAM1"
"Pgf","PGF"
"Pgk1","PGK1"
"Pgk2","PGK2"
"Pgr","PGR"
"Abcb1b","ABCB1"
"Abcb4","ABCB4"
"Abcb1a","ABCB1"
"Slc25a3","SLC25A3"
"Phex","PHEX"
"Phf2","PHF2"
"Phka1","PHKA1"
"Phkg1","PHKG1"
"Phtf1","PHTF1"
"Pick1","PICK1"
"Piga","PIGA"
"Pigf","PIGF"
"Pigr","PIGR"
"Pik3c2a","PIK3C2A"
"Pik3c2g","PIK3C2G"
"Pik3ca","PIK3CA"
"Pik3cd","PIK3CD"
"Pik3r1","PIK3R1"
"Pik3r2","PIK3R2"
"Pik3r3","PIK3R3"
"Pikfyve","PIKFYVE"
"Pim1","PIM1"
"Pim2","PIM2"
"Pip","PIP"
"Pip5k1c","PIP5K1C"
"Pip4k2a","PIP4K2A"
"Pip5k1b","PIP5K1B"
"Pip5k1a","PIP5K1A"
"Pira1","LILRB3"
"Pira2","LILRB3"
"Lilra6","LILRB3"
"Pira6","LILRB3"
"Pirb","LILRB3"
"Pou1f1","POU1F1"
"Pitpna","PITPNA"
"Pitpnm1","PITPNM1"
"Pitx1","PITX1"
"Pitx2","PITX2"
"Pitx3","PITX3"
"Pja1","PJA1"
"Pkm","PKM"
"Prkaca","PRKACA"
"Prkacb","PRKACB"
"Prkca","PRKCA"
"Prkcb","PRKCB"
"Prkcg","PRKCG"
"Prkcd","PRKCD"
"Prkce","PRKCE"
"Prkch","PRKCH"
"Prkci","PRKCI"
"Prkd1","PRKD1"
"Prkcq","PRKCQ"
"Prkcz","PRKCZ"
"Pkd1","PKD1"
"Pkd2","PKD2"
"Pkdrej","PKDREJ"
"Pkia","PKIA"
"Pkib","PKIB"
"Pkig","PKIG"
"Pklr","PKLR"
"Pknox1","PKNOX1"
"Pkp1","PKP1"
"Prl3d1","PRL"
"Prl3b1","PRL"
"Lypla1","LYPLA1"
"Pla2g1b","PLA2G1B"
"Pla2r1","PLA2R1"
"Pla2g2a","PLA2G2A"
"Pla2g2c","PLA2G2C"
"Pla2g2d","PLA2G2D"
"Pla2g4a","PLA2G4A"
"Pla2g5","PLA2G5"
"Plaa","PLAA"
"Serpine1","SERPINE1"
"Serpinb2","SERPINB2"
"Papola","PAPOLA"
"Plat","PLAT"
"Plau","PLAU"
"Plaur","PLAUR"
"Plcb1","PLCB1"
"Plcb2","PLCB2"
"Plcb3","PLCB3"
"Plcb4","PLCB4"
"Plcd1","PLCD1"
"Plcd4","PLCD4"
"Plcg1","PLCG1"
"Pld1","PLD1"
"Pld2","PLD2"
"Pld3","PLD3"
"Plec","PLEC"
"Prl2c2","PRL"
"Pa2g4","PA2G4"
"Prl7d1","PRL"
"Plg","PLG"
"Serpinf2","SERPINF2"
"Plk1","PLK1"
"Pln","PLN"
"Plod1","PLOD1"
"Plp1","PLP1"
"Plp2","PLP2"
"Lcp1","LCP1"
"Plscr2","PLSCR1"
"Ccl21a","CCL21"
"Pltp","PLTP"
"Bpifa1","BPIFA1"
"Plxna1","PLXNA1"
"Plxna2","PLXNA2"
"Plxna3","PLXNA3"
"Pml","PML"
"Pmp2","PMP2"
"Pmp22","PMP22"
"Pms2","PMS2"
"Prrx1","PRRX1"
"Phox2b","PHOX2B"
"Ppp1r14b","PPP1R14B"
"Pnliprp1","PNLIPRP1"
"Pnliprp2","PNLIPRP2"
"Pnmt","PNMT"
"Pnn","PNN"
"Pnp","PNP"
"Septin5","SEPTIN5"
"Septin4","SEPTIN4"
"Pola1","POLA1"
"Pola2","POLA2"
"Polb","POLB"
"Pold1","POLD1"
"Pold2","POLD2"
"Pole","POLE"
"Pole2","POLE2"
"Polg","POLG"
"Pomc","POMC"
"Pon1","PON1"
"Cnot7","CNOT7"
"Por","POR"
"Pou2af1","POU2AF1"
"Pou2f1","POU2F1"
"Pou2f2","POU2F2"
"Pou2f3","POU2F3"
"Pou3f1","POU3F1"
"Pou3f2","POU3F2"
"Pou3f3","POU3F3"
"Pou3f4","POU3F4"
"Pou4f1","POU4F1"
"Pou4f2","POU4F2"
"Pou4f3","POU4F3"
"Pou5f1","POU5F1"
"Pou6f1","POU6F1"
"Endou","ENDOU"
"Plpp1","PLPP1"
"Ppara","PPARA"
"Med1","MED1"
"Ppard","PPARD"
"Pparg","PPARG"
"Ppargc1a","PPARGC1A"
"Scand1","SCAND1"
"Ppef2","PPEF2"
"Ppfibp2","PPFIBP2"
"Ctsa","CTSA"
"Sypl1","SYPL1"
"Ppib","PPIB"
"Ppic","PPIC"
"Lgals3bp","LGALS3BP"
"Ppl","PPL"
"Ppm1a","PPM1A"
"Ppm1b","PPM1B"
"Ppox","PPOX"
"Ppp1ca","PPP1CA"
"Ppp1cb","PPP1CB"
"Ppp1cc","PPP1CC"
"Ppp1r1b","PPP1R1B"
"Ppp1r17","PPP1R17"
"Ppp2ca","PPP2CA"
"Ppp2cb","PPP2CB"
"Ppp2r3d","PPP2R3B"
"Ppp3ca","PPP3CA"
"Ppp3cb","PPP3CB"
"Ppp3cc","PPP3CC"
"Ppp3r1","PPP3R1"
"Ppp3r2","PPP3R2"
"Ppp5c","PPP5C"
"Inpp5k","INPP5K"
"Ppt1","PPT1"
"Ppy","PPY"
"Npy4r","NPY4R"
"Nup88","NUP88"
"Mob4","MOB4"
"Prep","PREP"
"Srgn","SRGN"
"Prg2","PRG2"
"Prim1","PRIM1"
"Prim2","PRIM2"
"Prkab1","PRKAB1"
"Prkag1","PRKAG1"
"Prkar1a","PRKAR1A"
"Prkar1b","PRKAR1B"
"Prkar2a","PRKAR2A"
"Prkar2b","PRKAR2B"
"Prkcsh","PRKCSH"
"Prkdc","PRKDC"
"Prkg1","PRKG1"
"Prkg2","PRKG2"
"Mapk11","MAPK11"
"Mapk8ip1","MAPK8IP1"
"Eif2ak2","EIF2AK2"
"Prkx","PRKX"
"Prl","PRL"
"Prl4a1","PRL"
"Prl6a1","PRL"
"Prl8a6","PRL"
"Prl7a1","PRL"
"Prl7a2","PRL"
"Prlr","PRLR"
"Prm1","PRM1"
"Prm2","PRM2"
"Prm3","PRM3"
"Prnp","PRNP"
"Proc","PROC"
"Procr","PROCR"
"Prodh","LOC102724788"
"Prom1","PROM1"
"Prop1","PROP1"
"Pros1","PROS1"
"Prox1","PROX1"
"Prph","PRPH"
"Prph2","PRPH2"
"Prpf4b","PRPF4B"
"Prps1","PRPS1"
"Lgmn","LGMN"
"Prss12","PRSS12"
"St14","ST14"
"Klk6","KLK6"
"Tmprss15","TMPRSS15"
"Prtn3","PRTN3"
"Prx","PRX"
"Npepps","NPEPPS"
"Psap","PSAP"
"Cyth1","CYTH1"
"Cyth2","CYTH2"
"Cyth3","CYTH3"
"Psen1","PSEN1"
"Psen2","PSEN2"
"Psma2","PSMA2"
"Psma3","PSMA3"
"Psmb1","PSMB1"
"Psmb10","PSMB10"
"Psmb4","PSMB4"
"Psmb5","PSMB5"
"Psmb6","PSMB6"
"Psmb7","PSMB7"
"Psmc1","PSMC1"
"Psmc2","PSMC2"
"Psmc3","PSMC3"
"Psmc3ip","PSMC3IP"
"Psmc5","PSMC5"
"Psmd4","PSMD4"
"Psme1","PSME1"
"Psme2","PSME2"
"Psme3","PSME3"
"Pipox","PIPOX"
"Bpifa2","BPIFA2"
"Pspn","PSPN"
"Pstpip1","PSTPIP1"
"Pstpip2","PSTPIP2"
"Ptafr","PTAFR"
"Ptbp1","PTBP1"
"Ptch1","PTCH1"
"Ptch2","PTCH2"
"Ptcra","PTCRA"
"Ptdss1","PTDSS1"
"Pten","PTEN"
"Pter","PTER"
"Ptf1a","PTF1A"
"Ptgdr","PTGDR"
"Ptgds","PTGDS"
"Ptger1","PTGER1"
"Ptger2","PTGER2"
"Ptger3","PTGER3"
"Ptger4","PTGER4"
"Ptgfr","PTGFR"
"Ptgfrn","PTGFRN"
"Ptgir","PTGIR"
"Ptgis","PTGIS"
"Ptgs1","PTGS1"
"Ptgs2","PTGS2"
"Pth","PTH"
"Pthlh","PTHLH"
"Pth1r","PTH1R"
"Ptk2b","PTK2B"
"Twf1","TWF1"
"Ptma","PTMA"
"Tmsb10","TMSB10"
"Tmsb4x","TMSB4X"
"Ptn","PTN"
"Ptp4a1","PTP4A1"
"Ptp4a2","PTP4A2"
"Ptp4a3","PTP4A3"
"Ptpn1","PTPN1"
"Ptpn11","PTPN11"
"Ptpn12","PTPN12"
"Ptpn13","PTPN13"
"Ptpn14","PTPN14"
"Dusp1","DUSP1"
"Ptpn18","PTPN18"
"Ptpn2","PTPN2"
"Ptpn20","PTPN20B"
"Ptpn4","PTPN4"
"Ptpn5","PTPN5"
"Ptpn22","PTPN22"
"Sirpa","SIRPA"
"Ptpra","PTPRA"
"Ptprb","PTPRB"
"Ptprc","PTPRC"
"Ptprcap","PTPRCAP"
"Ptprd","PTPRD"
"Ptpre","PTPRE"
"Ptprf","PTPRF"
"Ptprg","PTPRG"
"Ptprj","PTPRJ"
"Ptprk","PTPRK"
"Ptpru","PTPRU"
"Ptprm","PTPRM"
"Ptprn","PTPRN"
"Ptprn2","PTPRN2"
"Ptpro","PTPRO"
"Ptprr","PTPRR"
"Ptprs","PTPRS"
"Ptprt","PTPRT"
"Ptprz1","PTPRZ1"
"Cavin1","CAVIN1"
"Pts","PTS"
"Ptx3","PTX3"
"Igdcc3","IGDCC3"
"Pura","PURA"
"Purb","PURB"
"Pvalb","PVALB"
"Nectin2","NECTIN2"
"Pvt1","PVT1"
"Pex19","PEX19"
"Abcd3","ABCD3"
"Abcd4","ABCD4"
"Pxmp2","PXMP2"
"Pex2","PEX2"
"Pxn","PXN"
"Pex5","PEX5"
"Pygm","PYGM"
"Rab1a","RAB1A"
"Rab10","RAB10"
"Rab11b","RAB11B"
"Rab12","RAB12"
"Rab17","RAB17"
"Rab18","RAB18"
"Rab19","RAB19"
"Rab20","RAB20"
"Rab22a","RAB22A"
"Rab23","RAB23"
"Rab24","RAB24"
"Rab33a","RAB33A"
"Rab33b","RAB33B"
"Rab3a","RAB3A"
"Rab3d","RAB3D"
"Rab4a","RAB4A"
"Rab4b","RAB4B"
"Rab5b","RAB5B"
"Rab5c","RAB5C"
"Rab6a","RAB6A"
"Dennd5a","DENND5A"
"Kif20a","KIF20A"
"Rab7","RAB7A"
"Rabggtb","RABGGTB"
"Rac1","RAC1"
"Rac2","RAC2"
"Rad1","RAD1"
"Rad17","RAD17"
"Rad21","RAD21"
"Rad23a","RAD23A"
"Rad23b","RAD23B"
"Rad50","RAD50"
"Rad51","RAD51"
"Rad51ap1","RAD51AP1"
"Rad51b","RAD51B"
"Rad51d","RAD51D"
"Rad52","RAD52"
"Rad54l","RAD54L"
"Rad9a","RAD9A"
"Raet1a","RAET1E"
"Raet1b","RAET1E"
"Raet1c","RAET1E"
"Rag1","RAG1"
"Rag2","RAG2"
"Rab34","RAB34"
"Rai1","RAI1"
"Aldh1a2","ALDH1A2"
"Raly","RALY"
"Ran","RAN"
"Ranbp1","RANBP1"
"Ranbp2","RGPD1"
"Rangap1","RANGAP1"
"Rasgrp2","RASGRP2"
"Rapsn","RAPSN"
"Rara","RARA"
"Rarg","RARG"
"Rasa3","RASA3"
"Rasal1","RASAL1"
"Rasd1","RASD1"
"Rasgrf1","RASGRF1"
"Rasgrf2","RASGRF2"
"Rasgrp1","RASGRP1"
"Rasl2-9","RAN"
"Rax","RAX"
"Rb1","RB1"
"Rbbp4","RBBP4"
"Rbbp6","RBBP6"
"Robo3","ROBO3"
"Rbl1","RBL1"
"Rbl2","RBL2"
"Rbm3","RBM3"
"Rbm4","RBM4"
"Rbm6","RBM6"
"Rbmx","RBMX"
"Rbmxl1","RBMXL1"
"Rbmy","RBMY1A1"
"Rbp1","RBP1"
"Rbp2","RBP2"
"Rbp3","RBP3"
"Rbp4","RBP4"
"Rbpms","RBPMS"
"Rbpj","RBPJ"
"Rbpjl","RBPJL"
"Rce1","RCE1"
"Rcn1","RCN1"
"Rcvrn","RCVRN"
"Pitpnm2","PITPNM2"
"Rdh5","RDH5"
"Rdh16","RDH16"
"Rdx","RDX"
"Rfc1","RFC1"
"Recql","RECQL"
"Reg1","REG1A"
"Reg2","REG1B"
"Reg3a","REG3A"
"Reg3g","REG3G"
"Rel","REL"
"Rela","RELA"
"Relb","RELB"
"Reln","RELN"
"Rem1","REM1"
"Ren1","REN"
"Ren2","REN"
"Renbp","RENBP"
"Upf1","UPF1"
"Reps1","REPS1"
"Dpf2","DPF2"
"Resp18","RESP18"
"Rest","REST"
"Ret","RET"
"Rev3l","REV3L"
"Bex1","BEX2"
"Rfc2","RFC2"
"Rfng","RFNG"
"Trim27","TRIM27"
"Rfx1","RFX1"
"Rfx2","RFX2"
"Rfx3","RFX3"
"Rfxank","RFXANK"
"Slc50a1","SLC50A1"
"Ralgds","RALGDS"
"Rgl1","RGL1"
"Rgl2","RGL2"
"Rgn","RGN"
"Rgs16","RGS16"
"Rgs2","RGS2"
"Rgs4","RGS4"
"Rgs5","RGS5"
"Rgs9","RGS9"
"Rhag","RHAG"
"Rheb","RHEB"
"Rhd","RHCE"
"Rnase1","RNASE1"
"Rit2","RIT2"
"Ring1","RING1"
"Ralbp1","RALBP1"
"Ripk1","RIPK1"
"Rit1","RIT1"
"Rlbp1","RLBP1"
"Rln1","RLN1"
"Xpr1","XPR1"
"Uri1","URI1"
"Rmrp","RMRP"
"Rn7sk","RN7SK"
"Rnaseh1","RNASEH1"
"Rlim","RLIM"
"Rnf2","RNF2"
"Rnf4","RNF4"
"Rnf7","RNF7"
"Trim10","TRIM10"
"Rnps1","RNPS1"
"Rnu7","RNU7-125P"
"Snord73a","SNORD73A"
"Snord73b","SNORD73B"
"Rny1","RNY1"
"Rny3","RNY3"
"Robo1","ROBO1"
"Rock1","ROCK1"
"Rock2","ROCK2"
"Slc22a8","SLC22A8"
"Rom1","ROM1"
"Mst1r","MST1R"
"Rora","RORA"
"Rorc","RORC"
"Ros1","ROS1"
"Rp1","RP1"
"Rp2","RP2"
"Rpa2","RPA2"
"Rpe65","RPE65"
"Rpgr","RPGR"
"Rph3a","RPH3A"
"Rpia","RPIA"
"Rpl10a","RPL10A"
"Rpl18","RPL18"
"Rpl19","RPL19"
"Rpl21","RPL21"
"Rpl22","RPL22"
"Mrpl23","LOC102724828"
"Rpl26","RPL26"
"Rpl27","RPL27"
"Rpl28","RPL28"
"Rpl29","RPL29"
"Rpl30","RPL30"
"Rpl32","RPL32"
"Rpl37a","RPL37A"
"Rpl36a","RPL36A"
"Rpl6","RPL6"
"Rpl7","RPL7"
"Rpl9","RPL9"
"Rpn2","RPN2"
"Polr1c","POLR1C"
"Polr1b","POLR1B"
"Polr1d","POLR1D"
"Polr1a","POLR1A"
"Polr2a","POLR2A"
"Polr2c","POLR2C"
"Polr2j","POLR2J"
"Sub1","SUB1"
"Pdc","PDC"
"Rps12","RPS12"
"Rps14","RPS14"
"Rps15","RPS15"
"Rps16","RPS16"
"Rps17","RPS17"
"Rps18","RPS18"
"Rps19","RPS19"
"Rps24","RPS24"
"Rps29","RPS29"
"Rps3a1","RPS3A"
"Rps4x","RPS4Y1"
"Rps5","RPS5"
"Rps6","RPS6"
"Rps6ka1","RPS6KA1"
"Rps6ka2","RPS6KA2"
"Rps7","RPS7"
"Rps8","RPS8"
"Trim30a","TRIM5"
"Rptn","RPTN"
"Rras","RRAS"
"Rrh","RRH"
"Rrm1","RRM1"
"Rrm2","RRM2"
"Rs1","RS1"
"Dhrs3","DHRS3"
"Rsu1","RSU1"
"Rtkn","RTKN"
"Rtn2","RTN2"
"Rtn3","RTN3"
"Hps6","HPS6"
"Ruvbl2","RUVBL2"
"Rxra","RXRA"
"Rxrb","RXRB"
"Rxrg","RXRG"
"Uimc1","UIMC1"
"Ncor1","NCOR1"
"Nr1h4","NR1H4"
"Ryk","RYK"
"Ryr1","RYR1"
"Ryr2","RYR2"
"Ryr3","RYR3"
"S100a1","S100A1"
"S100a10","S100A10"
"S100a11","S100A11"
"S100a13","S100A13"
"S100a3","S100A3"
"S100a4","S100A4"
"S100a5","S100A5"
"S100a6","S100A6"
"S100a8","S100A8"
"S100a9","S100A9"
"S100b","S100B"
"Prrx2","PRRX2"
"Saa1","SAA1"
"Saa2","SAA1"
"Saa3","SAA2"
"Saa4","SAA2-SAA4"
"Sag","SAG"
"Acsm3","ACSM3"
"Khdrbs1","KHDRBS1"
"Apcs","APCS"
"Sap18","SAP18"
"Sf3a2","SF3A2"
"Sar1a","SAR1A"
"Sart1","SART1"
"Sat1","SAT1"
"Satb1","SATB1"
"Nkx1-2","NKX1-2"
"Sbp","ZG16B"
"Atxn1","ATXN1"
"Atxn2","ATXN2"
"Serpinb3a","SERPINB4"
"Scd1","SCD"
"Scd2","SCD"
"Scg2","SCG2"
"Scg3","SCG3"
"Clec11a","CLEC11A"
"Stmn2","STMN2"
"Scin","SCIN"
"Stmn3","STMN3"
"Scn10a","SCN10A"
"Scn1a","SCN1A"
"Scn1b","SCN1B"
"Scn3a","SCN3A"
"Scn5a","SCN5A"
"Scn7a","SCN7A"
"Scn8a","SCN8A"
"Scn9a","SCN9A"
"Scnn1a","SCNN1A"
"Scnn1b","SCNN1B"
"Scnn1g","SCNN1G"
"Scp2","SCP2"
"Scrg1","SCRG1"
"Zc3h7b","ZC3H7B"
"Sct","SCT"
"Msr1","MSR1"
"Scx","SCXB"
"Ccl1","CCL1"
"Ccl11","CCL11"
"Ccl12","CCL2"
"Ccl17","CCL17"
"Ccl2","CCL13"
"Ccl20","CCL20"
"Ccl22","CCL22"
"Ccl25","CCL25"
"Ccl27a","CCL27"
"Ccl3","CCL3L3"
"Ccl4","CCL4"
"Ccl5","CCL5"
"Ccl6","CCL15"
"Ccl7","CCL7"
"Ccl8","CCL8"
"Ccl9","CCL15"
"Cxcl2","CXCL3"
"Cxcl5","CXCL6"
"Cx3cl1","CX3CL1"
"Cxcl12","CXCL12"
"Sdf2","SDF2"
"Serpinf1","SERPINF1"
"Sdf4","SDF4"
"Sfrp2","SFRP2"
"Nptn","NPTN"
"Frrs1","FRRS1"
"Sord","SORD"
"Cavin2","CAVIN2"
"Sec22b","SEC22B"
"Sec23a","SEC23A"
"Sec61g","SEC61G"
"Exoc4","EXOC4"
"Sel1l","SEL1L"
"Sele","SELE"
"Glg1","GLG1"
"Selenbp1","SELENBP1"
"Selenbp2","SELENBP1"
"Sell","SELL"
"Selp","SELP"
"Selplg","SELPLG"
"Sema3a","SEMA3A"
"Sema3b","SEMA3B"
"Sema3c","SEMA3C"
"Sema3e","SEMA3E"
"Sema3f","SEMA3F"
"Sema4a","SEMA4A"
"Sema4b","SEMA4B"
"Sema4c","SEMA4C"
"Sema4d","SEMA4D"
"Sema4f","SEMA4F"
"Sema5a","SEMA5A"
"Sema5b","SEMA5B"
"Sema6a","SEMA6A"
"Sema6b","SEMA6B"
"Sema6c","SEMA6C"
"Sema7a","SEMA7A"
"Septin8","SEPTIN8"
"Selenop","SELENOP"
"Selenow","SELENOW"
"Serf1","SERF1A"
"Sez6","SEZ6"
"Foxp3","FOXP3"
"Spi1","SPI1"
"Sfrp1","SFRP1"
"Frzb","FRZB"
"Sfrp4","SFRP4"
"Srsf2","SRSF2"
"Srsf3","SRSF3"
"Srsf5","SRSF5"
"Sftpa1","SFTPA1"
"Sftpb","SFTPB"
"Sftpc","SFTPC"
"Sftpd","SFTPD"
"Sgca","SGCA"
"Sgce","SGCE"
"Sgk1","SGK1"
"Scg5","SCG5"
"Sgpl1","SGPL1"
"Sh2b1","SH2B1"
"Sh2d1a","SH2D1A"
"Sh3bp1","SH3BP1"
"Zfp106","ZNF106"
